,x,y,confidence
nose,741.08167,415.74655,0.9443433
neck,709.73694,458.87997,0.8699031
rshoulder,670.56055,458.85562,0.78065324
relbow,627.4328,515.7405,0.77696717
rwrist,648.9166,596.0444,0.5794628
lshoulder,744.9149,458.8702,0.8896942
lelbow,760.7177,509.8336,0.85845345
lwrist,772.3972,552.9585,0.81765896
midhip,682.3202,527.50116,0.70600873
rhip,662.66907,527.56995,0.6290799
rknee,666.5435,537.2573,0.72624946
rankle,652.8707,619.52124,0.7897451
lhip,707.7312,525.5941,0.6848266
lknee,754.79144,525.52673,0.8318683
lankle,709.6558,601.86786,0.8412248
reye,729.26776,409.95557,0.9060236
leye,742.9947,404.11826,0.839041
rear,703.8557,413.9278,0.8805147
lear,0.0,0.0,0.0
lbigtoe,742.9699,619.64575,0.7943924
lsmalltoe,742.9741,617.569,0.76237416
lheel,695.90405,603.98663,0.76554936
rbigtoe,676.431,646.93726,0.8534163
rsmalltoe,662.68854,646.94257,0.80766463
rheel,648.99744,623.503,0.6720262
nose,743.057,413.9699,0.9687631
neck,711.6193,458.85535,0.88378865
rshoulder,676.3569,455.00873,0.77433366
relbow,631.335,511.8825,0.79658395
rwrist,646.9949,590.223,0.5416716
lshoulder,744.93207,458.92886,0.8862406
lelbow,760.72253,509.81482,0.8485431
lwrist,774.2474,549.08606,0.7577169
midhip,680.3642,521.64777,0.75443053
rhip,660.7163,523.5569,0.6997633
rknee,664.63074,543.20087,0.6395569
rankle,652.8511,619.61505,0.8112584
lhip,703.82434,519.6786,0.68671405
lknee,752.793,525.5659,0.7943129
lankle,709.70935,601.88696,0.8594697
reye,731.2513,409.96353,0.88075674
leye,744.8988,404.09473,0.8211105
rear,709.6793,413.92905,0.90840536
lear,0.0,0.0,0.0
lbigtoe,743.0292,619.67755,0.7964719
lsmalltoe,743.0064,617.60425,0.75735116
lheel,695.9275,603.9723,0.82184196
rbigtoe,678.3052,646.9602,0.86897355
rsmalltoe,664.56976,646.9798,0.821859
rheel,648.99304,625.4423,0.6855859
nose,744.92926,415.7875,0.95047486
neck,711.7419,456.99243,0.8863778
rshoulder,678.3076,455.05356,0.769339
relbow,631.36096,515.75726,0.77626365
rwrist,646.9462,588.263,0.5990174
lshoulder,744.999,458.8721,0.8485522
lelbow,760.6941,507.8551,0.83000386
lwrist,772.3169,549.0596,0.72289574
midhip,678.34,519.64984,0.716265
rhip,654.8297,523.53033,0.6820746
rknee,664.6197,556.883,0.59397316
rankle,650.9867,619.6319,0.83605635
lhip,698.0144,513.796,0.69762737
lknee,750.8228,523.65204,0.75962806
lankle,709.7209,601.9053,0.86347836
reye,733.19293,411.85593,0.864405
leye,745.02264,406.03186,0.8610144
rear,711.57275,413.94464,0.9277714
lear,0.0,0.0,0.0
lbigtoe,742.9437,619.6411,0.832204
lsmalltoe,742.9513,617.5609,0.78428495
lheel,695.9619,603.9919,0.8288394
rbigtoe,678.29285,646.94995,0.87891066
rsmalltoe,664.57635,646.97095,0.8350607
rheel,648.9382,625.44763,0.6837032
nose,746.9613,415.7749,0.9333143
neck,713.64923,455.0129,0.85033447
rshoulder,680.32355,455.00555,0.7737117
relbow,633.2941,515.77466,0.79327226
rwrist,641.1293,582.3461,0.64083505
lshoulder,745.0187,454.98126,0.8016012
lelbow,760.6515,505.92154,0.7837762
lwrist,768.49023,545.15186,0.73853207
midhip,672.45917,513.7864,0.6824912
rhip,648.94354,519.6337,0.63560647
rknee,664.6711,541.2814,0.71062076
rankle,650.95245,619.5876,0.86053413
lhip,696.029,511.81653,0.69641376
lknee,752.80304,513.7931,0.7349368
lankle,709.6878,601.9047,0.8625556
