,x,y,confidence
nose,764.5844,398.28766,0.91958714
neck,731.3009,437.4044,0.8397179
rshoulder,701.84106,435.461,0.78518903
relbow,666.54376,509.9008,0.9217449
rwrist,658.7446,588.2228,0.7390417
lshoulder,762.577,439.31104,0.82459277
lelbow,774.2853,494.16385,0.8411621
lwrist,776.4074,543.1655,0.82936573
midhip,668.55414,505.93243,0.71817005
rhip,646.97034,502.01245,0.6999274
rknee,693.9486,539.2744,0.7972415
rankle,664.6529,619.54706,0.8616036
lhip,693.9938,507.91153,0.69462144
lknee,760.664,519.6725,0.8458529
lankle,725.40283,601.9054,0.8871416
reye,758.61755,390.38834,0.90503484
leye,772.3159,390.3604,0.7838736
rear,729.3693,394.27737,0.86171615
lear,0.0,0.0,0.0
lbigtoe,758.7185,617.6066,0.9385084
lsmalltoe,758.59656,613.6755,0.82945055
lheel,711.6862,605.91064,0.8192836
rbigtoe,693.9838,643.07184,0.85286504
rsmalltoe,680.27325,645.01874,0.8231639
rheel,654.832,627.38403,0.7230866
nose,764.5833,398.28708,0.9193635
neck,731.2972,437.3986,0.84080434
rshoulder,701.83167,435.45572,0.7856647
relbow,666.54083,509.91006,0.92093694
rwrist,658.7514,588.2515,0.72696906
lshoulder,762.5751,439.31195,0.8247881
lelbow,774.2924,494.16968,0.8406878
lwrist,776.4093,543.16187,0.83079606
midhip,668.5761,505.93674,0.71675086
rhip,646.98505,502.0235,0.7001675
rknee,693.9518,539.27576,0.79896426
rankle,664.6515,619.54065,0.8604015
lhip,694.02075,507.91226,0.6964296
lknee,760.6735,519.6754,0.84655166
lankle,725.40063,601.9129,0.88789165
reye,758.61743,390.38452,0.9053155
leye,770.4715,390.3582,0.7827396
rear,729.36646,394.2682,0.8597763
lear,0.0,0.0,0.0
lbigtoe,758.71844,617.60425,0.9383526
lsmalltoe,758.59485,613.6743,0.82904625
lheel,711.6835,605.92316,0.8184668
rbigtoe,693.9841,643.0722,0.8548549
rsmalltoe,680.2704,645.01666,0.8217311
rheel,654.8319,625.4947,0.7242134
nose,764.57166,398.28195,0.921705
neck,731.2953,437.3922,0.8408329
