,x,y,confidence
nose,762.5894,398.1022,0.90082145
neck,725.317,445.2148,0.89413583
rshoulder,696.05286,443.2695,0.83236694
relbow,662.69684,507.95822,0.84429705
rwrist,651.0408,584.3147,0.49784413
lshoulder,745.07196,447.14157,0.8764926
lelbow,758.6809,509.83588,0.8146024
lwrist,758.6191,547.13184,0.5730002
midhip,662.6379,505.90057,0.7564715
rhip,637.2129,503.96606,0.7465165
rknee,682.30743,539.1569,0.8507948
rankle,650.98816,617.68066,0.8334015
lhip,682.28156,505.9335,0.7183821
lknee,746.9683,517.73584,0.8286336
lankle,717.5359,599.9555,0.8143289
reye,750.88354,386.4973,0.85623384
leye,762.6802,384.55942,0.7453525
rear,727.3386,400.10486,0.94396806
lear,0.0,0.0,0.0
lbigtoe,750.86926,619.61536,0.76773703
lsmalltoe,750.8301,615.6939,0.7400999
lheel,705.78485,603.9596,0.72366357
rbigtoe,680.28125,641.12897,0.85318536
rsmalltoe,664.7207,643.097,0.8041845
rheel,645.0462,623.5427,0.74929273
nose,760.6396,396.1842,0.90958774
neck,721.48395,445.18552,0.8791552
rshoulder,695.9534,443.22015,0.8332281
relbow,662.6496,507.93927,0.84079385
rwrist,652.8734,580.41406,0.5789073
lshoulder,745.00964,447.15326,0.9042258
lelbow,758.62976,507.95392,0.8167927
lwrist,758.60376,547.0882,0.5656472
midhip,662.6826,507.80762,0.7844766
rhip,637.2426,505.9637,0.7696595
rknee,682.3198,537.3349,0.8512785
rankle,650.98334,617.6471,0.85064405
lhip,682.33966,507.81592,0.7245665
lknee,748.8641,517.71344,0.8241197
lankle,715.65784,599.93256,0.8092674
reye,748.85474,384.59338,0.88358593
leye,760.71484,384.493,0.75630397
rear,727.266,398.21823,0.9328171
lear,0.0,0.0,0.0
lbigtoe,752.7912,619.62866,0.7621729
lsmalltoe,750.8421,615.7038,0.73666084
lheel,703.8451,603.9509,0.71145964
rbigtoe,680.2686,639.21436,0.84985274
rsmalltoe,664.70154,641.1729,0.8069928
rheel,645.0301,623.4859,0.75721925
nose,758.65027,396.16074,0.91039896
neck,717.58203,443.29752,0.8632972
rshoulder,694.06665,441.3069,0.8306893
relbow,662.65625,507.83984,0.86802596
rwrist,652.86554,576.4704,0.6933648
lshoulder,744.90283,445.26526,0.9105897
lelbow,756.75494,507.8528,0.80044746
lwrist,758.7007,547.1016,0.63229406
midhip,662.6407,507.93097,0.80366933
rhip,637.21594,507.91058,0.7917543
rknee,682.3177,539.17847,0.8646572
rankle,650.9337,617.60016,0.8612904
lhip,682.27106,507.91022,0.7442866
lknee,746.95746,517.71893,0.8385818
lankle,715.65546,599.964,0.8098782
reye,745.00397,384.54874,0.9570929
leye,758.7476,384.50903,0.77209246
rear,725.35944,398.08832,0.9072733
lear,0.0,0.0,0.0
lbigtoe,752.82184,619.61505,0.7911006
lsmalltoe,750.86945,617.52924,0.74907374
lheel,703.8216,603.9827,0.71263874
rbigtoe,680.303,639.2178,0.8305424
rsmalltoe,666.53406,641.17163,0.7911722
rheel,643.0697,621.5974,0.7615427
nose,758.62213,394.27914,0.89614516
neck,717.53766,443.2686,0.8634084
rshoulder,694.00385,441.32065,0.82179725
relbow,662.6379,507.86853,0.86034983
rwrist,652.8648,576.5034,0.6783577
lshoulder,743.09705,445.1871,0.8948742
lelbow,754.7831,503.99854,0.74241096
lwrist,760.5612,545.1414,0.73034453
midhip,662.67816,507.82257,0.792857
rhip,637.25684,505.9772,0.7651915
rknee,682.3082,537.3074,0.8625401
rankle,650.92847,617.59595,0.86931616
lhip,682.31915,507.82794,0.7381749
lknee,746.94586,517.71954,0.84852946
lankle,715.65094,599.9702,0.817402
reye,744.972,384.50732,0.96345824
leye,758.71344,384.4839,0.6895244
rear,725.3031,396.25848,0.8832505
lear,0.0,0.0,0.0
lbigtoe,752.8104,619.6101,0.7946517
lsmalltoe,750.8622,617.52625,0.7564253
lheel,703.83704,603.98846,0.7418121
rbigtoe,680.28107,641.1274,0.83422244
rsmalltoe,664.7125,643.0639,0.7951282
rheel,643.0775,621.5763,0.7739941
nose,758.62427,394.27777,0.8963174
neck,717.5391,443.26517,0.86265254
rshoulder,694.0046,441.31717,0.82135576
relbow,662.64984,507.84894,0.86454755
rwrist,652.87115,574.5582,0.71198785
lshoulder,743.0978,445.18402,0.89484984
lelbow,754.7733,503.99628,0.7339633
lwrist,758.7366,545.142,0.6591779
midhip,662.6787,507.82346,0.7910516
rhip,637.2543,505.97607,0.7643883
rknee,682.3212,537.2991,0.8600042
rankle,650.932,617.6045,0.86759293
lhip,682.3246,507.8326,0.73590636
lknee,746.93933,517.7139,0.8511594
lankle,715.6393,599.9672,0.81869996
reye,744.9749,384.5073,0.9623764
leye,758.7118,384.48196,0.6825909
