,x,y,confidence
nose,758.6649,398.11563,0.94226146
neck,717.58325,445.15005,0.87543213
rshoulder,695.9167,441.33466,0.8351173
relbow,662.6645,507.88025,0.8815121
rwrist,650.85254,566.708,0.7884542
lshoulder,743.0942,447.12805,0.906282
lelbow,758.59503,507.8528,0.7829023
lwrist,766.4897,552.9766,0.7560873
midhip,660.6808,500.0758,0.7376278
rhip,635.2913,494.29202,0.7965823
rknee,680.265,529.48846,0.8491672
rankle,652.8913,617.6166,0.8337347
lhip,682.2109,503.98944,0.7196123
lknee,744.9338,515.7154,0.8797436
lankle,713.7241,599.99884,0.8625547
reye,745.0487,386.50348,0.91935277
leye,760.57715,386.4588,0.79066586
rear,725.4002,398.19452,0.9299438
lear,0.0,0.0,0.0
lbigtoe,745.05786,619.6024,0.8662913
lsmalltoe,746.9023,615.7059,0.8406554
lheel,701.9062,603.98517,0.7724771
rbigtoe,680.2212,639.2087,0.8184128
rsmalltoe,664.6948,641.1099,0.80655193
rheel,647.0157,621.60876,0.75394905
nose,758.6561,396.19528,0.9219562
neck,717.5541,445.1115,0.8692128
rshoulder,695.9002,443.19196,0.837321
relbow,662.61334,507.8596,0.8680508
rwrist,650.91345,566.69965,0.7348376
lshoulder,743.0644,445.27484,0.90488946
lelbow,756.68787,503.97427,0.7214742
lwrist,762.615,547.1082,0.71782154
midhip,658.7606,502.0198,0.7342064
rhip,635.25995,496.18362,0.78946173
rknee,680.28357,531.46533,0.8526176
rankle,652.8839,617.61456,0.8402382
lhip,680.34454,505.88263,0.7228999
lknee,744.96515,515.7304,0.8786792
lankle,713.7301,600.02466,0.859493
reye,745.0299,384.59842,0.9421064
leye,758.7171,384.55872,0.7192293
rear,725.3621,398.14557,0.91915566
lear,0.0,0.0,0.0
lbigtoe,746.9084,619.59247,0.8416254
lsmalltoe,746.9076,615.70245,0.81786734
lheel,701.899,605.8356,0.7665989
rbigtoe,680.21686,639.1881,0.8232208
rsmalltoe,664.6791,639.2242,0.8032873
rheel,647.01605,623.4713,0.7595402
nose,758.5852,394.29202,0.89311045
neck,715.65295,443.2888,0.8707145
rshoulder,693.99493,441.2866,0.81847996
relbow,658.77203,507.8142,0.85834754
rwrist,650.9372,564.7286,0.73620224
lshoulder,743.04663,445.26105,0.9104051
lelbow,756.662,505.90924,0.74287564
lwrist,760.6644,549.031,0.6230989
midhip,656.7902,507.80762,0.744224
rhip,633.3405,503.99356,0.7756867
rknee,680.2873,529.4941,0.84719014
rankle,652.8732,617.63135,0.8411174
lhip,680.2925,507.90198,0.7222234
lknee,745.062,515.7724,0.8663505
lankle,713.72986,600.01227,0.85045624
reye,744.978,384.5382,0.9618432
leye,758.61096,384.5223,0.5124734
rear,723.4397,396.2775,0.88358414
lear,0.0,0.0,0.0
lbigtoe,746.9402,619.59784,0.80356395
lsmalltoe,746.93036,615.6973,0.7807677
lheel,701.8744,605.8516,0.7529993
rbigtoe,680.22144,639.1955,0.8212583
rsmalltoe,664.6768,641.1221,0.7913642
rheel,647.0196,623.5069,0.75874645
nose,758.5779,394.28998,0.89386576
neck,715.616,443.28918,0.8803843
rshoulder,692.10315,441.26105,0.81030643
relbow,658.7625,507.81946,0.8564019
rwrist,650.972,562.793,0.72028196
lshoulder,743.02625,445.2764,0.9103217
lelbow,756.64777,505.96866,0.7493088
lwrist,760.6178,547.1173,0.6194671
midhip,656.7932,505.97858,0.7380994
rhip,633.337,503.95172,0.7732234
rknee,680.31964,527.5631,0.856211
rankle,652.8698,617.59863,0.84138274
lhip,680.3151,507.89233,0.7201334
lknee,745.04254,515.78723,0.86210185
lankle,713.7218,599.99945,0.8522687
reye,744.9626,384.53006,0.96705276
leye,758.61646,384.52628,0.5349811
rear,723.38684,396.25735,0.8731819
lear,0.0,0.0,0.0
lbigtoe,746.92334,619.60516,0.81697637
lsmalltoe,746.93066,615.7006,0.7965275
lheel,701.8863,605.8492,0.754989
rbigtoe,678.3958,639.17944,0.82107663
rsmalltoe,664.6499,639.22504,0.7926777
rheel,647.0251,621.60284,0.7628415
nose,758.5826,394.28036,0.8944272
neck,715.613,443.26987,0.8766471
rshoulder,693.9546,439.34973,0.80969507
relbow,658.7731,507.83105,0.85558033
rwrist,650.9753,566.6679,0.7301362
lshoulder,743.0264,445.24634,0.9122386
lelbow,750.8503,498.0884,0.7424578
lwrist,760.6272,541.16754,0.70284235
midhip,656.82367,505.92114,0.7436077
rhip,635.18445,500.096,0.76890707
rknee,680.3646,529.4721,0.85485554
rankle,652.8741,617.6315,0.83421767
lhip,680.31256,507.86566,0.7294538
lknee,744.988,515.7684,0.8692761
lankle,713.71954,599.98553,0.8519899
reye,744.9557,384.5139,0.9698036
leye,758.61487,384.51224,0.5590611
rear,723.3761,396.2514,0.8694479
lear,0.0,0.0,0.0
lbigtoe,745.0592,619.61566,0.83728296
lsmalltoe,746.9228,617.5202,0.81268823
lheel,701.8944,603.9884,0.756818
rbigtoe,680.2101,639.19434,0.8155179
rsmalltoe,664.66754,641.1028,0.7896408
rheel,647.0094,623.4941,0.75621676
nose,758.5856,394.22986,0.885591
