,x,y,confidence
nose,745.0647,396.19327,0.88411295
neck,717.55115,443.23093,0.8437642
rshoulder,686.2271,443.24643,0.79666144
relbow,666.50775,507.82568,0.8858906
rwrist,662.6771,582.37445,0.75632924
lshoulder,746.9998,441.3318,0.80269974
lelbow,760.5605,498.15164,0.815344
lwrist,760.7346,543.1702,0.81669146
midhip,670.52423,507.85666,0.75224215
rhip,646.99493,507.89633,0.75611115
rknee,686.19965,523.5782,0.618779
rankle,660.67755,613.696,0.7229848
lhip,696.03784,505.97662,0.7225329
lknee,752.77966,521.65283,0.812075
lankle,719.49664,590.2051,0.81030685
reye,737.15625,386.41,0.85414934
leye,745.0457,384.53122,0.59073573
rear,711.71747,398.13852,0.90335894
lear,0.0,0.0,0.0
lbigtoe,754.7167,609.8271,0.816687
lsmalltoe,752.77124,603.95233,0.82481277
lheel,709.662,600.009,0.7530379
rbigtoe,692.10535,635.3178,0.8305857
rsmalltoe,680.27203,637.2418,0.79942894
rheel,648.8876,619.6516,0.7078549
nose,745.06195,396.19254,0.8848883
neck,717.54865,443.22546,0.84287345
rshoulder,686.22626,443.24548,0.7967483
relbow,666.51044,507.83087,0.88648796
rwrist,662.67706,582.36774,0.7581146
lshoulder,746.997,441.31973,0.8026446
lelbow,760.5564,498.13834,0.8163774
lwrist,760.7375,543.1585,0.81814826
midhip,670.52515,507.86066,0.75189435
rhip,646.99,507.90018,0.7550386
rknee,686.2035,523.5679,0.6185668
rankle,660.6773,613.7018,0.7229176
lhip,696.04193,505.98187,0.7234025
lknee,752.77924,521.66125,0.8139325
lankle,719.48785,590.2084,0.8101156
reye,737.15607,386.41306,0.85314804
leye,745.0418,384.53424,0.58658636
rear,711.7174,398.14,0.9027614
lear,0.0,0.0,0.0
lbigtoe,752.8363,609.82025,0.8175776
lsmalltoe,750.88354,603.94604,0.82544297
lheel,709.6562,600.013,0.7514753
rbigtoe,692.10626,635.32007,0.8264706
rsmalltoe,680.27423,637.2469,0.7969419
rheel,648.8879,619.65576,0.7073021
nose,745.06714,396.2169,0.8899456
neck,717.5553,443.23367,0.8440444
rshoulder,686.21844,443.24585,0.79763305
relbow,666.5207,507.83804,0.88649094
rwrist,662.66223,582.3665,0.764461
lshoulder,747.0051,443.1881,0.80395234
lelbow,760.55237,498.13794,0.815662
lwrist,760.74255,543.1499,0.81126165
midhip,670.5365,507.85355,0.7500328
rhip,647.0015,507.89032,0.75314415
rknee,686.2078,523.59546,0.6209406
rankle,658.7521,615.6085,0.72123384
lhip,696.0456,505.98074,0.7247773
lknee,752.7841,523.48425,0.8193866
lankle,719.4869,590.20776,0.8088548
reye,739.04126,386.4483,0.84849346
leye,745.06415,384.55786,0.5935129
rear,711.7425,398.15817,0.89920264
lear,0.0,0.0,0.0
lbigtoe,752.82855,609.80945,0.8182774
lsmalltoe,750.8698,603.94104,0.8290018
lheel,709.6556,600.01184,0.7472892
rbigtoe,692.1013,635.3173,0.82476276
rsmalltoe,680.272,637.2512,0.7962356
rheel,647.01855,621.54047,0.70641756
nose,746.949,386.48337,0.8636019
neck,719.4857,433.43457,0.85680073
rshoulder,688.15845,433.4988,0.7933042
relbow,666.5865,505.98547,0.85281265
rwrist,662.71277,578.46875,0.7376311
lshoulder,748.8701,431.55414,0.8404824
lelbow,758.611,492.25302,0.7705501
lwrist,760.6981,541.20795,0.7637749
midhip,668.5942,502.02722,0.72924685
rhip,646.9408,503.9925,0.731945
rknee,694.02905,513.78564,0.7915748
rankle,658.75464,615.63086,0.728113
lhip,696.01825,498.13925,0.70495087
lknee,746.98413,521.62305,0.83903
lankle,717.53644,590.1828,0.82858986
reye,740.9767,382.58936,0.882828
leye,746.8946,382.4682,0.5559236
rear,713.6749,394.28497,0.85013396
lear,0.0,0.0,0.0
lbigtoe,752.7686,609.8141,0.8168977
lsmalltoe,750.8658,603.932,0.83231544
lheel,707.7534,599.968,0.7327519
rbigtoe,694.00525,637.19727,0.81653804
rsmalltoe,680.3226,639.16437,0.7972314
rheel,646.99646,623.47797,0.72220016
nose,746.96124,384.48483,0.9096016
neck,719.4782,431.56384,0.8690809
rshoulder,688.16974,431.57138,0.80951935
relbow,666.658,505.96353,0.84843343
rwrist,664.57166,572.64514,0.81503224
lshoulder,746.9911,431.52966,0.83675754
lelbow,756.7204,494.23343,0.73279047
lwrist,758.7651,543.19543,0.67427754
midhip,672.4714,496.15668,0.74095905
rhip,647.0218,496.2153,0.7359429
rknee,693.96606,519.6838,0.7580451
rankle,658.76715,615.6536,0.7341114
lhip,697.95087,494.26178,0.7463147
lknee,746.9554,523.504,0.8618717
lankle,717.5329,590.16394,0.82580847
reye,740.97974,382.44586,0.8793846
leye,746.94147,378.61465,0.58828866
rear,713.71826,390.40073,0.8279977
lear,0.0,0.0,0.0
lbigtoe,750.85504,609.783,0.82585233
lsmalltoe,750.8177,603.9163,0.83662254
lheel,707.7276,598.0594,0.72644764
rbigtoe,693.9718,635.34106,0.81626576
rsmalltoe,680.312,639.15735,0.79639035
rheel,647.00916,623.52344,0.71023893
nose,746.96106,384.50052,0.9058347
neck,719.48047,431.562,0.8691895
rshoulder,688.1735,431.57526,0.80901325
relbow,666.6578,505.9628,0.8478577
rwrist,664.57385,572.65247,0.81121886
lshoulder,746.99963,431.52597,0.8358948
lelbow,756.7225,494.24756,0.7361664
lwrist,760.5608,543.2253,0.67710716
midhip,672.47595,496.16022,0.7406257
rhip,647.0232,496.21866,0.73511255
rknee,693.96954,519.687,0.75967884
rankle,658.7768,615.6474,0.7337479
lhip,697.95667,494.265,0.74596006
