,x,y,confidence
nose,745.0003,415.91327,0.9383397
neck,711.68774,456.9295,0.885651
rshoulder,678.3089,453.07727,0.76019514
relbow,631.3218,509.92017,0.8287547
rwrist,635.3086,576.51544,0.80090666
lshoulder,744.937,458.8808,0.8515623
lelbow,760.6847,507.8636,0.80032986
lwrist,760.6701,539.3307,0.8398129
midhip,674.4602,517.7128,0.67732096
rhip,650.9151,519.6857,0.62235653
rknee,664.72894,527.49493,0.81600267
rankle,650.97125,615.6438,0.8292414
lhip,697.93304,517.7103,0.70083565
lknee,750.8421,509.88275,0.77193886
lankle,709.7367,599.96747,0.8493038
reye,737.10236,413.76483,0.87840104
leye,746.91504,411.84613,0.83097863
rear,711.61237,415.79468,0.9418283
lear,0.0,0.0,0.0
lbigtoe,742.9418,617.64014,0.8734047
lsmalltoe,741.0837,613.6845,0.7798693
lheel,696.0125,603.9657,0.8157916
rbigtoe,676.414,637.19507,0.8876508
rsmalltoe,664.54663,637.2218,0.83256185
rheel,648.89044,619.5779,0.7341691
nose,745.0003,415.9135,0.9381768
neck,711.6835,456.9292,0.8857796
rshoulder,678.2962,453.0767,0.75865024
relbow,631.3136,509.9165,0.82591534
rwrist,635.3026,576.4698,0.8053126
lshoulder,744.93933,458.87878,0.8517601
lelbow,760.6881,507.8722,0.8015927
lwrist,760.6664,539.331,0.8395278
midhip,674.44324,517.70953,0.6785607
rhip,650.8955,519.6844,0.6238642
rknee,666.5122,527.49695,0.81593573
rankle,650.9695,615.64105,0.8311751
lhip,697.9245,517.708,0.7005729
lknee,750.84314,509.88315,0.7732023
lankle,709.7342,599.96655,0.84901404
reye,737.1033,413.7653,0.87863046
leye,746.9146,411.8456,0.830928
rear,711.6132,415.79416,0.9416869
lear,0.0,0.0,0.0
lbigtoe,742.9398,617.64,0.8737082
lsmalltoe,741.07996,613.68463,0.78015816
lheel,696.00836,603.96173,0.81666344
rbigtoe,676.41626,637.1968,0.8864108
rsmalltoe,664.54877,637.2215,0.83268195
rheel,648.8874,619.5713,0.734855
nose,746.9345,415.91638,0.9171219
neck,711.7473,456.95062,0.88572496
rshoulder,680.24475,453.08527,0.7732479
relbow,631.3218,509.9317,0.84094214
rwrist,635.28424,574.5264,0.83008015
lshoulder,744.9374,458.89856,0.8397598
lelbow,760.65466,505.94827,0.8068577
lwrist,760.6934,539.3223,0.87465346
midhip,676.3736,513.8277,0.6907341
rhip,650.96674,515.7816,0.62031466
rknee,664.6912,527.55115,0.79639584
rankle,650.98553,615.654,0.8355553
lhip,697.9334,515.7336,0.70704895
lknee,750.8516,509.90128,0.79618806
lankle,711.56,599.95245,0.85659313
reye,740.9732,413.78366,0.9063535
leye,748.8761,411.83667,0.7741749
rear,711.6805,415.81348,0.9306985
lear,0.0,0.0,0.0
lbigtoe,742.9601,617.6671,0.862169
lsmalltoe,742.9239,613.7209,0.78279245
lheel,696.0311,603.95874,0.83534235
rbigtoe,676.38855,635.33905,0.9023503
rsmalltoe,662.7024,637.18646,0.8490211
rheel,648.9136,619.5882,0.7343937
nose,750.81824,417.80576,0.87210727
neck,713.54816,455.05106,0.8766022
rshoulder,680.3138,451.1346,0.78321093
relbow,633.21747,511.82794,0.84869564
rwrist,635.2561,572.564,0.84704655
lshoulder,744.90674,458.9309,0.83488953
lelbow,760.6318,507.8194,0.81351733
lwrist,760.641,541.1427,0.86703235
midhip,672.5066,509.91922,0.7132395
rhip,648.92065,509.93857,0.62133485
rknee,664.6311,527.50006,0.7937513
rankle,651.0056,615.6886,0.8447097
lhip,697.92847,511.79996,0.7204404
lknee,748.9032,509.90247,0.77603835
lankle,711.5637,599.9353,0.85993534
reye,742.91003,413.83917,0.94822955
leye,754.7525,411.93402,0.8227353
rear,713.62555,415.84573,0.9294484
lear,0.0,0.0,0.0
lbigtoe,742.93585,617.6699,0.8727801
lsmalltoe,742.9239,613.7213,0.7970569
lheel,696.04083,603.9118,0.84448844
rbigtoe,674.4775,635.33997,0.896239
rsmalltoe,662.6687,637.19214,0.84354043
rheel,648.96045,619.62415,0.74611115
nose,754.7816,417.84427,0.87245834
neck,713.5938,455.01657,0.86784697
rshoulder,680.3256,451.13715,0.77971506
relbow,633.21967,509.95587,0.8595408
rwrist,635.21783,572.5997,0.85299605
lshoulder,744.9582,456.99045,0.81327134
lelbow,760.62006,505.9583,0.7987995
lwrist,760.6564,539.17755,0.8526291
midhip,670.5355,507.97653,0.7126161
rhip,643.0894,507.96057,0.616589
rknee,664.6422,525.55066,0.8247683
rankle,651.0172,617.5581,0.84306
lhip,697.9438,509.8715,0.7197541
lknee,748.8693,509.8885,0.7965656
lankle,711.5756,599.92926,0.8644047
reye,743.0386,413.889,0.976282
leye,756.7357,411.9387,0.8500183
rear,715.5473,415.92685,0.8985699
lear,0.0,0.0,0.0
lbigtoe,742.94104,617.68835,0.8768724
lsmalltoe,742.93634,615.58606,0.80126274
lheel,696.05,603.8911,0.8369432
rbigtoe,674.4689,635.35626,0.8921271
rsmalltoe,662.667,637.2109,0.84407514
rheel,648.957,619.65686,0.7407978
nose,758.6782,425.61096,0.8965733
neck,715.64703,456.93298,0.8221902
rshoulder,684.25073,453.07578,0.75754464
relbow,633.21375,509.95035,0.83438325
rwrist,635.2093,572.55884,0.8411518
lshoulder,745.0782,455.0329,0.7991172
lelbow,758.6211,502.03546,0.73424876
lwrist,760.57947,537.30334,0.8418536
midhip,664.6156,505.98236,0.7329948
rhip,637.19055,505.97382,0.6708083
rknee,664.5651,531.40607,0.7654949
rankle,650.98584,617.5812,0.83883893
lhip,692.0745,507.8704,0.69938225
lknee,744.96356,509.90726,0.8505435
lankle,711.5849,599.97186,0.87730944
reye,745.06934,415.8497,0.9459583
leye,760.6122,415.78522,0.92150724
rear,725.36066,417.86896,0.862346
lear,0.0,0.0,0.0
lbigtoe,742.90656,617.68286,0.8854743
lsmalltoe,742.93896,613.7369,0.8133403
lheel,696.0735,603.9246,0.8434343
rbigtoe,676.3797,635.3135,0.89225453
rsmalltoe,662.70215,635.3613,0.8420805
rheel,648.90936,621.52527,0.72300434
nose,758.7366,427.54993,0.9111586
neck,715.6024,458.89404,0.8469393
rshoulder,684.2445,457.00272,0.7598428
relbow,631.3628,509.95975,0.8089969
rwrist,633.37695,572.51855,0.84495705
lshoulder,745.01154,456.9841,0.8099552
lelbow,758.6108,502.03152,0.7307654
lwrist,758.7419,539.16956,0.823401
midhip,664.5752,504.01114,0.7007907
rhip,637.2229,503.9756,0.6465686
rknee,664.55457,531.44366,0.776755
rankle,650.9976,617.5896,0.83910584
lhip,690.0749,505.94205,0.66915363
lknee,744.943,511.79617,0.84427416
lankle,711.6035,599.9398,0.8761532
reye,746.9504,415.90845,0.9120878
leye,760.67145,415.86496,0.9104868
rear,725.38043,419.7462,0.86666435
lear,0.0,0.0,0.0
lbigtoe,742.908,617.69037,0.88166916
lsmalltoe,742.9828,613.72174,0.8202181
lheel,697.90283,603.8994,0.8377002
rbigtoe,676.37665,635.3204,0.8769494
rsmalltoe,662.6804,637.1877,0.83060247
rheel,648.93256,621.5379,0.72536594
nose,758.7385,427.55325,0.912501
neck,715.6078,458.89136,0.84635365
rshoulder,684.24976,456.99814,0.7593544
relbow,631.36255,509.95663,0.8098863
rwrist,633.3769,572.52277,0.84490544
lshoulder,745.0119,456.98438,0.8122449
lelbow,758.60004,502.02847,0.7301283
lwrist,758.75024,537.33575,0.8206757
midhip,664.5829,504.01898,0.7040104
