,x,y,confidence
nose,786.0622,400.25458,0.8876531
neck,742.97455,443.22852,0.89826316
rshoulder,717.5469,439.31546,0.7995585
relbow,680.2472,507.9142,0.7489334
rwrist,664.7051,570.57007,0.7207376
lshoulder,762.66003,443.23773,0.83310866
lelbow,768.4609,498.15762,0.72909695
lwrist,772.3639,543.1831,0.8261923
midhip,672.47516,494.28522,0.7282637
rhip,650.9982,494.2106,0.7908893
rknee,697.8932,529.49493,0.8312847
rankle,664.67786,615.6183,0.8421285
lhip,696.00635,496.1937,0.6686388
lknee,758.6644,513.77246,0.88246197
lankle,727.36584,594.12634,0.85452753
reye,774.34076,398.11267,0.95357525
leye,786.12256,396.25168,0.6585578
rear,746.9046,400.27487,0.89590555
lear,0.0,0.0,0.0
lbigtoe,758.7057,617.66156,0.8200623
lsmalltoe,758.64496,613.6664,0.7537781
lheel,713.6284,601.9715,0.77982044
rbigtoe,694.0732,635.31354,0.8295905
rsmalltoe,680.34406,637.2352,0.793817
rheel,654.8175,621.54956,0.73833585
nose,782.16064,400.1419,0.9004337
neck,741.08746,441.33746,0.86939
rshoulder,715.5844,437.42178,0.80373585
relbow,678.36725,507.93515,0.7496854
rwrist,664.71783,572.6141,0.67859536
lshoulder,762.62305,443.1895,0.8291533
lelbow,764.59735,498.0872,0.75199926
lwrist,772.3751,543.22845,0.808779
midhip,676.3852,498.09924,0.7225852
rhip,651.01654,496.1512,0.75337857
rknee,697.88904,531.4021,0.8396914
rankle,664.6809,615.60675,0.834974
lhip,697.95245,500.06583,0.6999951
lknee,758.678,511.89227,0.890862
lankle,727.3572,592.1902,0.85573924
reye,772.42145,396.16803,0.9006153
leye,782.2278,392.3408,0.695198
rear,744.9548,400.18243,0.94671214
lear,0.0,0.0,0.0
lbigtoe,758.6732,617.665,0.81451
lsmalltoe,758.6368,613.664,0.75480616
lheel,713.61743,601.92975,0.7828842
rbigtoe,694.06616,635.3414,0.82197297
rsmalltoe,680.3476,637.24695,0.79863316
rheel,654.8322,619.6659,0.7700492
nose,778.318,398.2346,0.9174634
neck,741.0025,439.3741,0.8472622
rshoulder,713.5953,439.30212,0.8139952
relbow,678.2969,507.9114,0.7997825
rwrist,664.69653,572.54865,0.6980604
lshoulder,762.5837,439.33878,0.8183039
lelbow,764.5421,496.22427,0.76636696
lwrist,772.4321,545.1423,0.79556197
midhip,676.40326,500.04977,0.72345054
rhip,652.8584,496.20468,0.74225324
