,x,y,confidence
nose,750.88226,417.84396,0.85942096
neck,715.6237,454.98325,0.82861686
rshoulder,682.3538,456.96533,0.79032665
relbow,637.192,511.90118,0.81701434
rwrist,648.9658,586.2469,0.7729755
lshoulder,746.9847,451.1226,0.75866014
lelbow,768.4888,494.29233,0.7164499
lwrist,774.2645,541.30115,0.8260679
midhip,688.1423,519.6342,0.6127735
rhip,664.6633,521.6053,0.5673506
rknee,672.51514,523.64984,0.7153039
rankle,664.5357,615.6577,0.7816265
lhip,711.62067,515.758,0.6539547
lknee,758.66943,511.8765,0.76646626
lankle,715.55994,598.0096,0.816343
reye,742.9692,413.89255,0.9654801
leye,754.77576,413.76593,0.8332228
rear,715.5905,415.9319,0.8971739
lear,0.0,0.0,0.0
lbigtoe,746.9926,617.5468,0.8436651
lsmalltoe,746.9578,611.7097,0.76195556
lheel,701.89325,603.9002,0.772277
rbigtoe,682.3657,635.2643,0.881009
rsmalltoe,668.6186,635.34076,0.7876517
rheel,656.81036,619.6758,0.6442481
nose,750.8796,417.8425,0.8598827
neck,715.65,453.0585,0.8221673
rshoulder,682.3565,456.96512,0.78866345
relbow,637.1816,511.88965,0.82227397
rwrist,648.9715,586.2591,0.77526397
lshoulder,748.8712,449.18808,0.75612557
lelbow,768.4981,494.25995,0.70856273
lwrist,774.26465,541.2842,0.8202286
midhip,688.1739,517.6864,0.6083462
rhip,664.6848,519.6797,0.5577352
rknee,672.49524,523.6362,0.7127925
rankle,664.5377,615.6578,0.78054833
lhip,711.6484,513.8243,0.6563531
lknee,758.6873,511.8489,0.7653303
lankle,715.55884,598.0083,0.81455034
reye,742.9684,413.89203,0.9639767
leye,754.77673,413.76468,0.8335057
rear,715.59,415.93158,0.897513
lear,0.0,0.0,0.0
lbigtoe,746.9942,617.5476,0.8412334
lsmalltoe,746.9611,611.70996,0.7598928
lheel,701.8929,603.8999,0.7682718
rbigtoe,682.3677,635.26416,0.88021266
rsmalltoe,668.6196,635.34125,0.7854189
rheel,656.8174,619.6787,0.64258426
nose,754.7729,419.7176,0.8641589
neck,717.5191,455.0434,0.8206537
rshoulder,684.24176,456.97534,0.7817977
relbow,637.20325,513.7603,0.8126145
rwrist,648.95874,586.1939,0.7691617
lshoulder,748.8629,453.04272,0.75748295
lelbow,770.4155,496.17566,0.72486424
lwrist,774.2476,543.22217,0.83504343
midhip,692.043,509.96136,0.64673936
rhip,668.55597,511.86465,0.57435423
rknee,670.4909,525.49817,0.6988493
rankle,664.58325,615.69324,0.79721576
lhip,711.71423,509.9189,0.6826032
lknee,758.7429,511.88455,0.77940476
lankle,713.72235,598.00635,0.82084495
reye,743.04645,413.91516,0.9717401
leye,756.7071,413.76907,0.84084374
rear,715.6232,417.75327,0.88616955
lear,0.0,0.0,0.0
lbigtoe,748.85956,617.55743,0.8365185
lsmalltoe,746.97546,611.71893,0.7513545
lheel,701.862,603.90283,0.77493954
rbigtoe,682.3772,635.2723,0.8836313
rsmalltoe,670.48987,635.3587,0.78604305
rheel,660.6875,621.5252,0.66084236
nose,758.7375,419.73328,0.9020139
neck,721.43066,449.15277,0.8156794
rshoulder,686.2089,451.11545,0.75164837
relbow,639.1662,509.9415,0.8030519
rwrist,647.017,576.4998,0.78414625
lshoulder,746.96814,447.26706,0.7649261
lelbow,762.6484,496.18958,0.6866456
lwrist,772.32697,545.1749,0.80760324
midhip,678.3399,507.97842,0.7351496
rhip,650.9674,507.90417,0.65239054
rknee,668.6,527.50885,0.78767586
rankle,664.6333,617.53564,0.85835457
lhip,701.86365,509.88095,0.712505
lknee,758.63934,505.96378,0.82689106
lankle,713.69293,599.9233,0.8642628
reye,746.96344,413.89832,0.9333942
leye,760.62805,413.78464,0.8704785
rear,725.4056,415.8695,0.9203007
lear,0.0,0.0,0.0
lbigtoe,746.9672,617.60144,0.8702867
lsmalltoe,746.95166,611.75665,0.7772701
lheel,701.85986,603.9192,0.85394526
rbigtoe,684.22845,635.3003,0.90749824
rsmalltoe,670.5314,637.1847,0.8179996
rheel,660.7047,621.5061,0.7375181
nose,758.7376,419.73267,0.90203524
neck,721.4363,449.14203,0.8168998
rshoulder,686.21906,451.12393,0.74817735
relbow,639.1627,509.93845,0.8051809
rwrist,647.0289,576.50104,0.7866007
lshoulder,746.96747,447.25156,0.76470995
lelbow,762.64844,496.17685,0.6878066
lwrist,772.3276,545.17206,0.8075229
midhip,678.34393,507.97742,0.7344705
rhip,650.9746,507.90692,0.6508151
rknee,668.5984,527.5089,0.78695554
rankle,664.6291,615.70197,0.85510826
lhip,701.8653,509.87616,0.71259904
lknee,758.6395,505.96216,0.8268758
lankle,713.6938,599.92413,0.86408156
