,x,y,confidence
nose,784.12744,380.58817,0.86971736
neck,752.7923,429.6262,0.88673216
rshoulder,723.42053,429.5327,0.84112525
relbow,680.258,507.89175,0.7431207
rwrist,664.73096,584.30774,0.62214357
lshoulder,778.25867,431.49884,0.8767425
lelbow,788.09766,496.13983,0.7892809
lwrist,792.0233,545.1736,0.70617485
midhip,696.0032,490.23007,0.7581502
rhip,668.6329,484.39252,0.69056565
rknee,707.7791,531.4,0.83667904
rankle,680.3121,619.51776,0.88424265
lhip,721.4301,492.1485,0.69946086
lknee,790.0933,521.60156,0.88686144
lankle,731.32904,602.0005,0.8457874
reye,772.3831,374.69037,0.85661817
leye,778.32806,368.89655,0.6316961
rear,750.8642,392.30008,0.808511
lear,0.0,0.0,0.0
lbigtoe,772.33014,621.58923,0.8326119
lsmalltoe,768.4876,617.64636,0.8022402
lheel,721.4719,605.8688,0.78423357
rbigtoe,713.59174,646.9587,0.85122097
rsmalltoe,698.0397,647.02484,0.81077224
rheel,670.51514,627.427,0.7190239
nose,784.1547,382.41705,0.8844787
neck,752.82916,429.62442,0.890237
rshoulder,725.311,429.5083,0.8466759
relbow,680.29694,507.8692,0.7720156
rwrist,666.6404,572.58606,0.6470867
lshoulder,778.2755,431.50348,0.8742537
lelbow,788.0983,494.19324,0.8084645
lwrist,792.0987,545.1497,0.72611845
midhip,696.04956,490.2719,0.7678491
rhip,670.5221,484.43735,0.68542004
rknee,709.6407,529.4765,0.843844
rankle,680.27734,617.685,0.8876436
lhip,723.3921,492.19162,0.7065928
lknee,790.09375,521.63635,0.8930621
lankle,731.3295,602.0209,0.85133344
reye,772.4212,374.70773,0.86892146
leye,780.23114,368.93832,0.62917364
rear,750.8713,390.3793,0.80925053
lear,0.0,0.0,0.0
lbigtoe,772.33026,621.59656,0.8365882
lsmalltoe,768.48047,617.65533,0.8043189
lheel,721.46826,605.8942,0.7918373
rbigtoe,713.58704,646.9645,0.84723634
rsmalltoe,698.0335,647.0298,0.8012766
rheel,668.5995,627.39087,0.72716993
nose,784.1658,380.60193,0.884142
neck,752.8287,429.61386,0.8900083
rshoulder,725.3078,429.49118,0.8441938
relbow,680.29987,507.85797,0.7850936
rwrist,666.66595,572.55316,0.69460726
lshoulder,778.2825,431.49973,0.8731394
lelbow,788.0814,494.133,0.81661344
lwrist,793.9371,545.11285,0.7005866
midhip,695.99615,490.28055,0.77270544
rhip,668.6109,484.44138,0.6909091
rknee,709.64105,529.48627,0.84185696
rankle,680.2917,617.68195,0.88920736
lhip,721.456,492.19302,0.70688474
lknee,790.0797,521.63385,0.8902872
lankle,731.3273,602.032,0.85199165
reye,774.2356,374.67233,0.87476194
leye,780.2692,368.9275,0.64051265
rear,752.7756,388.45682,0.8072533
lear,0.0,0.0,0.0
lbigtoe,772.3405,621.60864,0.83198303
lsmalltoe,768.499,617.6613,0.80206215
lheel,721.462,605.897,0.79953927
rbigtoe,713.6086,646.96954,0.8459595
rsmalltoe,699.8802,647.0474,0.8015377
rheel,668.6071,627.3863,0.717098
nose,786.0738,380.51108,0.8722384
neck,752.78687,429.55887,0.8902794
rshoulder,723.43585,429.44687,0.8304572
relbow,682.2046,503.98196,0.78801394
rwrist,666.69836,570.56616,0.731501
lshoulder,778.24146,431.45,0.88319707
lelbow,788.0668,492.18213,0.8279684
lwrist,794.0222,541.27924,0.71945894
midhip,695.90826,486.33597,0.75083494
rhip,668.5519,480.47845,0.74271685
rknee,709.6532,525.64624,0.8718189
rankle,680.3089,617.6943,0.89046216
lhip,717.5337,488.33643,0.7034599
lknee,790.0256,521.65204,0.9100725
lankle,731.32947,602.02734,0.85313845
reye,774.2555,370.8499,0.89555687
leye,780.2547,368.82724,0.67923635
rear,750.8523,386.4756,0.8175272
lear,0.0,0.0,0.0
lbigtoe,772.3399,621.612,0.83420825
lsmalltoe,768.4808,617.66895,0.8055465
lheel,721.4765,605.90015,0.7997605
rbigtoe,713.6088,646.98096,0.8519182
rsmalltoe,699.88275,648.86945,0.8075243
rheel,668.6255,627.3938,0.72207034
nose,784.1541,370.84344,0.86073965
neck,750.8198,419.7248,0.8471958
rshoulder,719.4955,419.76172,0.79243976
relbow,684.29834,496.1311,0.78564286
rwrist,668.5301,570.51483,0.7725496
lshoulder,778.24347,419.74472,0.83292514
lelbow,786.0888,484.3893,0.75942445
lwrist,790.0789,537.29395,0.7875221
midhip,692.0714,476.5635,0.7838949
rhip,666.6762,474.5704,0.76274425
rknee,707.70166,523.5773,0.8506181
rankle,680.33234,617.6606,0.8802538
lhip,713.6599,478.48538,0.7473969
lknee,784.1238,517.692,0.8006507
lankle,733.20746,601.98785,0.8424889
reye,774.28625,368.74802,0.9654424
leye,780.2222,366.82352,0.64890885
rear,750.85834,382.50742,0.8446442
lear,0.0,0.0,0.0
lbigtoe,770.4504,623.51025,0.83573675
lsmalltoe,770.3913,617.6979,0.82596284
lheel,723.3746,605.883,0.7758865
rbigtoe,713.5952,646.99286,0.8637483
rsmalltoe,699.8699,647.05396,0.81614876
rheel,668.60785,625.4636,0.72858995
nose,787.9907,370.78854,0.8839971
neck,750.8584,417.79404,0.86299235
rshoulder,721.4344,417.77924,0.80721927
relbow,684.25476,496.1485,0.7697027
rwrist,666.72144,564.75616,0.7664405
lshoulder,778.2598,417.81747,0.84155333
lelbow,786.1074,480.47375,0.80536634
lwrist,791.9367,537.301,0.8189901
midhip,686.2222,474.58994,0.75770026
rhip,666.5358,470.66925,0.7470861
rknee,707.71606,523.4833,0.8566797
rankle,680.31915,617.6898,0.884714
lhip,711.641,476.57452,0.73054504
lknee,782.1809,513.8068,0.81974345
lankle,731.30817,601.9572,0.85209554
reye,774.37177,366.92108,0.9793466
leye,784.1268,366.7817,0.56508183
rear,752.7779,382.44644,0.83485925
lear,0.0,0.0,0.0
lbigtoe,770.4694,623.5193,0.8383887
lsmalltoe,770.4126,617.6986,0.8277148
lheel,721.4611,605.8482,0.78143173
rbigtoe,713.5644,646.98987,0.8718788
rsmalltoe,698.02435,647.04083,0.82888836
rheel,668.60114,627.3993,0.75042456
nose,787.994,370.7861,0.88527256
neck,750.8656,417.7951,0.861785
rshoulder,721.4427,417.781,0.80683833
relbow,684.2581,496.14105,0.7693525
rwrist,668.5234,564.74054,0.7662641
lshoulder,778.2675,417.8159,0.8399083
lelbow,786.1114,480.4993,0.8033363
lwrist,791.9404,537.30176,0.8198395
midhip,686.22473,474.59113,0.757604
rhip,666.5373,470.66885,0.74660397
rknee,707.71533,523.4846,0.8568102
rankle,680.317,617.689,0.8842888
lhip,711.6427,476.57745,0.7319801
lknee,782.1888,513.81036,0.81881064
lankle,731.3084,601.9584,0.85256785
reye,774.37524,366.92072,0.9799925
leye,784.13214,366.781,0.5630351
rear,752.79236,382.4464,0.83532166
lear,0.0,0.0,0.0
lbigtoe,770.4713,623.5194,0.83955884
lsmalltoe,770.4128,617.6995,0.8277913
lheel,721.46106,605.84906,0.7825503
rbigtoe,713.5602,646.98895,0.87143654
rsmalltoe,698.02136,647.03876,0.82846594
rheel,668.5982,627.3971,0.7506643
nose,788.0688,368.88873,0.911649
neck,750.82886,415.89847,0.87336105
rshoulder,719.5168,415.8971,0.81138337
relbow,684.24524,494.23355,0.77533764
rwrist,666.6421,566.6832,0.8172019
lshoulder,778.26917,415.90903,0.8578989
