,x,y,confidence
nose,790.06555,398.11942,0.9517176
neck,752.80457,445.2403,0.85364914
rshoulder,719.4757,445.18384,0.78989935
relbow,697.9732,517.68335,0.81194234
rwrist,696.01294,594.1089,0.77216375
lshoulder,786.0603,445.30215,0.8136822
lelbow,791.9874,507.81964,0.8773473
lwrist,803.758,555.0085,0.85417753
midhip,695.9685,509.957,0.70134205
rhip,666.6041,511.82104,0.7532812
rknee,715.59656,545.15796,0.61855996
rankle,682.3669,641.1622,0.75131524
lhip,725.377,509.84106,0.6532529
lknee,786.07965,537.2793,0.8250338
lankle,752.77515,607.8649,0.7876495
reye,776.36316,386.4541,0.91885716
leye,790.10944,384.56735,0.6583136
rear,746.98737,398.1532,0.8624928
lear,0.0,0.0,0.0
lbigtoe,790.0869,633.19965,0.87230635
lsmalltoe,789.95575,623.52295,0.77396196
lheel,741.02795,617.6327,0.7509178
rbigtoe,717.52386,666.5391,0.8086388
rsmalltoe,703.816,666.6084,0.7442932
rheel,672.45654,648.9905,0.65465987
nose,790.0953,398.1532,0.9574716
neck,752.79724,445.21637,0.8493525
rshoulder,719.477,445.17038,0.7907782
relbow,697.98804,517.7238,0.80715656
rwrist,696.0103,594.1131,0.75356704
lshoulder,784.16583,445.28366,0.81180143
lelbow,791.97186,507.8261,0.8744871
lwrist,803.7584,556.8465,0.86348236
midhip,695.9762,509.91998,0.70300716
rhip,666.6044,509.97366,0.7609313
rknee,715.6326,543.1804,0.6163783
rankle,684.20874,639.2125,0.753364
lhip,725.3958,509.79718,0.65169054
lknee,784.16675,537.2953,0.8239228
lankle,752.8028,607.8732,0.78827965
reye,776.39526,386.4802,0.9105619
leye,791.9205,384.5927,0.6988123
rear,748.86816,398.14093,0.8570309
lear,0.0,0.0,0.0
lbigtoe,790.09216,633.21545,0.8829007
lsmalltoe,789.9654,623.54034,0.7810049
lheel,741.05725,617.6418,0.7539807
rbigtoe,717.51636,666.5312,0.8107856
rsmalltoe,703.8143,666.59436,0.74708915
rheel,672.4842,648.94403,0.6520136
nose,791.9015,398.1736,0.9598539
neck,752.84064,445.1952,0.8443504
rshoulder,721.4308,445.15353,0.7865913
relbow,698.0083,519.662,0.7972274
rwrist,695.9831,599.9543,0.7000338
lshoulder,786.06366,445.26437,0.8092856
lelbow,791.99005,507.82144,0.8729311
lwrist,803.7494,556.8635,0.8689074
midhip,694.0219,509.90628,0.6762895
rhip,666.547,511.8176,0.74279714
rknee,717.5462,543.1755,0.6351821
rankle,684.2385,639.1526,0.7546514
lhip,723.43744,507.9596,0.6220062
lknee,784.1271,537.3076,0.8262014
lankle,752.7971,609.75903,0.78969216
reye,776.4189,386.48624,0.9065599
leye,791.9686,384.59457,0.7510328
