,x,y,confidence
nose,791.9361,398.11057,0.90013933
neck,754.77686,437.37128,0.82688737
rshoulder,727.2416,439.32126,0.7958772
relbow,699.92206,500.09113,0.8241817
rwrist,697.8807,574.5697,0.77606696
lshoulder,782.196,433.53183,0.78835875
lelbow,786.1093,496.21344,0.7109953
lwrist,789.93054,545.1674,0.7478828
midhip,695.94995,507.9486,0.70869946
rhip,668.63104,507.87878,0.7525717
rknee,718.12,528.75,0.47921687
rankle,695.92035,607.8215,0.6755931
lhip,715.6184,507.9617,0.63607615
lknee,776.3864,511.84653,0.6069061
lankle,741.056,586.2517,0.73551565
reye,778.347,386.5104,0.8140991
leye,790.0619,384.425,0.25384256
rear,752.82086,398.16055,0.81710976
lear,0.0,0.0,0.0
lbigtoe,776.31934,607.8088,0.79950047
lsmalltoe,774.35614,603.8807,0.76597893
lheel,729.2237,588.22516,0.46996787
rbigtoe,723.42957,637.2701,0.687928
rsmalltoe,711.6236,637.2369,0.68367386
rheel,680.3306,613.70184,0.59900177
nose,791.95544,398.2452,0.9150886
neck,754.7467,437.37518,0.8216719
rshoulder,725.40216,437.40976,0.7941695
relbow,701.84784,502.0094,0.7933516
rwrist,697.88074,574.59357,0.77270216
lshoulder,780.24976,435.42938,0.790048
lelbow,788.00073,498.10107,0.7185829
lwrist,789.91296,549.0398,0.7413985
midhip,695.96265,507.9144,0.7023242
rhip,670.49915,507.84833,0.7396537
rknee,719.38,532.5,0.512109
rankle,695.9555,607.80963,0.644284
lhip,715.6395,507.92386,0.62598324
lknee,776.40466,511.81354,0.5828003
lankle,741.08484,586.2508,0.7215779
reye,780.24695,390.39432,0.78780836
leye,790.0888,384.56668,0.20004861
rear,748.9107,398.24713,0.7971909
lear,0.0,0.0,0.0
lbigtoe,776.3184,605.9347,0.79188514
lsmalltoe,774.35693,603.8582,0.7554648
lheel,729.26917,588.21484,0.3913478
rbigtoe,723.42883,637.2843,0.6552067
rsmalltoe,711.6411,637.2231,0.6662721
rheel,680.34644,611.76965,0.58572125
nose,791.9,396.2503,0.89694554
neck,754.77606,433.49133,0.8620124
rshoulder,727.2369,435.4259,0.80221325
relbow,705.75946,502.05472,0.7725344
rwrist,697.88763,572.60583,0.80474204
lshoulder,782.1587,431.55817,0.82675266
lelbow,786.1134,494.19412,0.70432305
lwrist,789.91956,545.1718,0.7307948
midhip,696.0258,505.9517,0.7088579
rhip,670.5537,505.97327,0.7302563
rknee,723.12,528.75,0.3487363
rankle,695.9099,605.8915,0.7013203
lhip,719.5075,505.90088,0.626826
lknee,776.3787,513.7846,0.7015572
lankle,741.0676,586.2567,0.76923263
reye,778.3193,386.47946,0.8210401
leye,790.0214,384.415,0.30832708
rear,748.89667,398.13193,0.8060805
lear,0.0,0.0,0.0
lbigtoe,776.31067,607.8334,0.8432083
lsmalltoe,774.33234,603.8903,0.8210714
lheel,729.2364,588.23175,0.48215634
rbigtoe,725.3376,637.21405,0.69209117
rsmalltoe,711.65857,637.2087,0.6852918
rheel,680.2694,611.7249,0.6014125
nose,789.9345,394.26404,0.7918457
neck,754.7263,431.53482,0.8675365
rshoulder,727.23517,431.5792,0.8202646
relbow,707.7708,505.91068,0.7766547
rwrist,697.9304,572.60266,0.79439485
lshoulder,778.31744,431.47998,0.8420409
lelbow,780.2556,492.22098,0.7492227
lwrist,788.0943,545.1624,0.757042
midhip,697.8869,500.07288,0.67072827
rhip,672.4706,500.10834,0.6981185
rknee,728.12,528.75,0.4041329
rankle,695.9208,605.88983,0.75684434
lhip,723.3792,498.11343,0.61349267
lknee,776.24927,523.49725,0.79151
lankle,742.93585,586.3137,0.82775253
reye,776.31366,384.51212,0.8272198
leye,788.0721,382.5909,0.44928893
rear,746.97144,394.23523,0.7366856
lear,0.0,0.0,0.0
lbigtoe,776.3355,609.7712,0.83932674
lsmalltoe,774.37195,603.9199,0.8257448
lheel,729.33093,588.2923,0.5742211
rbigtoe,725.36554,637.1808,0.7406497
rsmalltoe,711.6593,637.1885,0.7266951
rheel,680.31384,611.74664,0.63828546
nose,790.0333,388.41904,0.8278596
neck,754.728,431.45004,0.8755397
rshoulder,727.24927,431.51672,0.826595
relbow,709.6279,505.912,0.7522455
rwrist,697.8857,572.5814,0.7849579
lshoulder,778.32477,429.58502,0.8337292
lelbow,778.30255,488.34854,0.74313915
lwrist,788.0669,541.2543,0.73926085
midhip,694.0397,496.16925,0.6696881
rhip,670.52277,498.1,0.7161876
rknee,729.38,532.5,0.50363266
rankle,694.02356,605.9291,0.7587524
lhip,715.60254,494.2231,0.614764
lknee,774.40985,523.6381,0.80160725
lankle,742.9096,586.32983,0.8260163
reye,778.2472,382.5615,0.83516544
leye,789.94995,380.57635,0.33254838
rear,750.8442,388.3753,0.73359346
lear,0.0,0.0,0.0
lbigtoe,776.2946,607.8673,0.83925974
lsmalltoe,774.3216,603.90356,0.8151804
lheel,729.33673,588.2921,0.56900895
rbigtoe,725.33936,635.3538,0.756138
rsmalltoe,711.6438,637.1815,0.7343894
rheel,680.2249,611.7708,0.6517047
nose,790.0773,388.3967,0.8310998
neck,754.73364,431.42807,0.87729186
rshoulder,725.3771,431.47455,0.82808834
relbow,707.77167,498.14456,0.750312
rwrist,697.87915,570.5535,0.7875078
lshoulder,778.34845,429.5893,0.84272397
lelbow,778.3442,492.22223,0.76366496
lwrist,788.01855,543.1944,0.69790757
midhip,695.95465,494.1292,0.72941506
rhip,674.4092,494.1869,0.7582737
rknee,731.88,533.75,0.6726359
rankle,694.0272,605.9125,0.7828601
lhip,715.57196,492.24283,0.65561414
lknee,774.2911,525.50665,0.8413139
lankle,741.0663,588.23346,0.83832335
reye,778.2989,382.55078,0.82027495
leye,789.93353,380.54156,0.28350252
rear,748.9313,390.37973,0.7229395
lear,0.0,0.0,0.0
lbigtoe,776.3591,607.8251,0.8350886
lsmalltoe,774.3593,603.8649,0.8090698
lheel,729.33844,590.2497,0.598475
rbigtoe,723.44635,635.33136,0.7938471
rsmalltoe,711.57855,635.3256,0.7644361
rheel,680.23334,611.73883,0.6524932
nose,791.9329,384.4851,0.88583744
neck,754.7846,429.59677,0.88713557
rshoulder,727.2768,429.59378,0.84049344
relbow,705.817,494.19156,0.83621234
rwrist,697.9004,566.6828,0.81208116
lshoulder,780.23517,429.56485,0.8401891
lelbow,780.20685,494.13458,0.7862848
lwrist,788.0673,543.18506,0.76803243
midhip,695.95,492.14215,0.70789164
rhip,672.50385,492.16928,0.7475202
rknee,728.12,527.5,0.6890344
