,x,y,confidence
nose,758.6481,394.25705,0.90124846
neck,717.5773,439.32,0.83069265
rshoulder,695.9418,437.40488,0.8312457
relbow,662.6939,507.97873,0.81340975
rwrist,654.81964,582.36096,0.66572875
lshoulder,744.88776,437.4252,0.8615601
lelbow,754.7789,494.225,0.80638754
lwrist,760.62463,549.0244,0.7929359
midhip,662.69867,505.9027,0.775646
rhip,641.1269,505.87515,0.7465302
rknee,684.24786,535.3202,0.8183857
rankle,650.9733,619.5236,0.8429298
lhip,682.33905,505.88687,0.7299645
lknee,745.0621,521.56714,0.88470477
lankle,713.5739,596.0633,0.84262836
reye,744.99316,384.4941,0.95968693
leye,758.6921,384.4622,0.66434914
rear,725.30884,396.21887,0.8763509
lear,0.0,0.0,0.0
lbigtoe,744.89557,617.6042,0.7478007
lsmalltoe,743.0379,611.7631,0.6899246
lheel,698.03906,601.976,0.7583177
rbigtoe,684.22095,635.30994,0.834808
rsmalltoe,672.50757,639.1892,0.7512947
rheel,643.05835,627.4403,0.75688624
nose,758.57153,392.3118,0.8785503
neck,717.5213,439.31628,0.8337957
rshoulder,694.05774,439.33322,0.81989235
relbow,662.68317,509.8175,0.8115352
rwrist,654.842,584.2757,0.68444157
lshoulder,743.09534,437.36447,0.86582065
lelbow,752.83997,494.1838,0.80835634
lwrist,758.7637,545.1748,0.7683734
midhip,662.717,505.96378,0.7934181
rhip,641.1462,505.9606,0.7678315
rknee,684.2334,535.3569,0.82693636
rankle,650.9816,619.5428,0.834039
lhip,682.35443,505.9331,0.7428237
lknee,745.0623,519.68567,0.8716199
lankle,713.5721,596.05206,0.84227043
reye,744.92957,384.46375,0.9719748
leye,758.6177,384.40134,0.6997655
rear,723.40265,396.20868,0.86544406
lear,0.0,0.0,0.0
lbigtoe,743.0719,617.5885,0.7498976
lsmalltoe,743.0209,611.74445,0.6927086
lheel,698.04004,601.96063,0.76334286
rbigtoe,684.2241,635.3207,0.82794464
rsmalltoe,674.40875,639.20526,0.7462657
rheel,641.1722,629.3584,0.75980514
nose,756.692,390.38672,0.86692035
neck,715.62213,437.3863,0.8480218
rshoulder,694.01807,437.40134,0.81540745
relbow,662.6989,507.97504,0.819245
rwrist,654.8151,582.38696,0.68340766
lshoulder,743.0214,435.42422,0.86992157
lelbow,750.83826,492.28088,0.82734483
lwrist,760.554,543.154,0.76824373
midhip,664.5818,505.9695,0.80281603
rhip,643.0889,507.79938,0.7771198
rknee,684.2364,535.36,0.83121717
rankle,650.9789,619.5264,0.8400006
lhip,684.21954,505.90775,0.7478426
lknee,746.9084,519.6698,0.8633008
lankle,713.5576,596.05585,0.8484866
reye,744.88934,384.43658,0.97801244
leye,756.7147,382.59222,0.6963159
rear,721.4854,396.17117,0.85167825
lear,0.0,0.0,0.0
lbigtoe,743.04956,617.5912,0.7585708
lsmalltoe,743.00085,611.75024,0.70388097
lheel,698.03033,601.961,0.76986784
rbigtoe,684.2384,635.3276,0.8186356
rsmalltoe,674.4196,639.20105,0.7435532
rheel,643.06213,627.4231,0.7629696
nose,754.73096,388.4601,0.8422867
neck,715.6242,435.43927,0.8541839
rshoulder,694.0284,435.42853,0.8228389
relbow,662.69965,507.95337,0.81661224
rwrist,654.8253,578.4785,0.6939326
lshoulder,743.01215,433.54437,0.87046707
lelbow,748.88666,492.29514,0.8412508
lwrist,760.602,541.301,0.8146719
midhip,664.5914,505.91568,0.7910452
rhip,643.10547,505.91443,0.76151687
rknee,684.23096,535.3714,0.8338791
rankle,650.9681,617.6725,0.8490776
lhip,684.2293,504.01212,0.7424371
lknee,746.9159,519.68494,0.8578165
lankle,713.5576,594.144,0.8501323
reye,743.03796,384.4042,0.9776124
leye,754.7673,382.5552,0.75173485
rear,721.43604,394.23965,0.8423949
lear,0.0,0.0,0.0
lbigtoe,743.01385,617.5777,0.77469575
lsmalltoe,742.9874,611.7242,0.7197016
lheel,698.04254,601.93304,0.7670237
rbigtoe,684.20764,635.313,0.8206516
rsmalltoe,672.5012,639.16376,0.7436408
rheel,643.0578,627.3946,0.7604976
nose,752.8189,386.52283,0.8561537
neck,715.62573,433.51477,0.868551
rshoulder,694.0236,433.5241,0.8297706
relbow,662.6919,507.91876,0.8063768
rwrist,654.8183,576.52344,0.6810266
lshoulder,743.0001,433.45596,0.88538384
lelbow,746.9047,492.22305,0.8430396
lwrist,758.6985,541.2293,0.7769263
midhip,664.6203,505.90912,0.7888922
rhip,643.12396,505.92914,0.76164424
rknee,684.23083,535.295,0.8235486
rankle,650.9733,617.66785,0.8458925
lhip,684.27,503.99698,0.741045
lknee,746.98,517.67773,0.8337287
lankle,713.5852,594.13153,0.8455562
reye,743.0035,382.58942,0.97761226
leye,754.7274,382.49927,0.78024495
rear,721.43677,392.32504,0.83899856
lear,0.0,0.0,0.0
lbigtoe,742.99207,617.5756,0.76890755
lsmalltoe,742.99097,611.72687,0.72312254
lheel,699.875,601.92413,0.75250494
rbigtoe,682.38055,635.31506,0.8217551
rsmalltoe,672.46515,639.1804,0.7444532
rheel,643.07385,627.40576,0.7578341
nose,752.7982,386.45752,0.86826783
neck,715.5958,433.47757,0.8773368
rshoulder,693.97797,433.47946,0.829013
relbow,664.52386,507.85468,0.81165737
rwrist,651.02856,572.6032,0.71312094
lshoulder,742.95593,431.61282,0.883561
lelbow,746.8908,492.1902,0.85373116
lwrist,758.6298,541.17065,0.796861
midhip,664.5764,504.01642,0.7906468
rhip,641.1296,505.88773,0.74562645
rknee,684.2475,535.31165,0.8317261
rankle,650.9674,617.6306,0.8547484
lhip,684.2325,502.04663,0.7416687
lknee,745.03235,515.77826,0.8766896
lankle,713.57623,594.1496,0.8440728
reye,742.98615,382.5408,0.96972096
leye,754.7392,382.4517,0.7851418
rear,721.44183,392.289,0.83960146
lear,0.0,0.0,0.0
lbigtoe,743.067,617.5669,0.8025949
lsmalltoe,743.01685,609.8147,0.7425306
lheel,699.8808,601.9694,0.74971724
rbigtoe,682.32477,635.29694,0.83070683
rsmalltoe,668.62476,637.272,0.7595209
rheel,643.0901,625.46716,0.76251334
nose,754.7355,386.41476,0.8778636
neck,715.63354,433.42795,0.8768445
rshoulder,693.9918,433.47516,0.82880646
relbow,662.713,505.9166,0.7992718
rwrist,651.01355,570.5485,0.716609
lshoulder,742.9741,431.53928,0.89925176
lelbow,745.05176,490.31653,0.8359613
lwrist,758.72974,535.34924,0.73851717
midhip,662.6939,502.05106,0.76171535
rhip,639.22064,503.97342,0.7288983
rknee,684.2187,533.39185,0.8259028
