,x,y,confidence
nose,754.744,394.30313,0.8526047
neck,725.40784,435.42062,0.8720425
rshoulder,695.9568,435.4206,0.82335526
relbow,664.66833,505.95724,0.854857
rwrist,664.5433,582.3434,0.6936917
lshoulder,758.58276,433.54092,0.8484157
lelbow,760.59607,494.25198,0.8402738
lwrist,763.12,545.0,0.8395051
midhip,670.5469,503.96918,0.72860193
rhip,647.0122,504.01114,0.7424363
rknee,694.0021,511.8403,0.75700104
rankle,662.7076,613.71484,0.76571685
lhip,697.97064,503.95602,0.6870679
lknee,754.7779,517.685,0.802847
lankle,723.4445,590.2693,0.81826156
reye,743.07043,384.5822,0.9223837
leye,752.80963,384.54956,0.5442175
rear,721.4231,396.26743,0.78172004
lear,0.0,0.0,0.0
lbigtoe,758.6333,613.7081,0.83062875
lsmalltoe,756.73004,605.8744,0.8045149
lheel,711.614,601.9346,0.8029455
rbigtoe,694.0385,635.3422,0.850214
rsmalltoe,680.31946,637.2667,0.8355102
rheel,650.87225,621.539,0.7267137
nose,754.74457,394.2965,0.85323405
neck,725.40686,435.41962,0.8722337
rshoulder,695.95526,435.42007,0.82291394
relbow,664.66846,505.95224,0.8546427
rwrist,664.5412,582.3368,0.6924132
lshoulder,758.5822,433.5394,0.8486377
lelbow,760.593,494.24545,0.8397573
lwrist,760.68207,541.26245,0.84086365
midhip,670.5474,503.95184,0.7274847
rhip,647.013,503.9923,0.7418915
rknee,694.00714,511.83176,0.7581678
rankle,662.7062,613.7039,0.76389724
lhip,697.9689,502.06082,0.6849333
lknee,754.7819,517.6872,0.8022306
lankle,723.4469,590.2674,0.81827706
reye,743.0723,384.57776,0.92473114
leye,752.8104,384.5449,0.54311085
rear,721.424,396.2662,0.7813417
lear,0.0,0.0,0.0
lbigtoe,758.63403,613.70447,0.83002466
lsmalltoe,756.7288,605.8731,0.80436933
lheel,711.6144,601.9322,0.8022119
rbigtoe,694.03564,635.3432,0.84799993
rsmalltoe,680.3179,637.26544,0.8337816
rheel,650.8722,621.5283,0.72474164
nose,754.7612,394.309,0.86706865
neck,725.35004,435.3946,0.87314624
rshoulder,694.05554,435.43747,0.8100921
relbow,666.5285,507.8813,0.8133004
rwrist,664.5312,582.38385,0.67603946
lshoulder,756.7583,433.514,0.8515375
lelbow,760.5706,496.1298,0.81891584
lwrist,760.65845,541.24457,0.8363797
midhip,672.4967,498.1628,0.71177924
rhip,647.04443,500.09503,0.73953867
rknee,694.02026,513.7962,0.7705217
rankle,662.67926,613.7087,0.7616074
lhip,699.9279,498.14978,0.65960866
lknee,754.733,517.7208,0.79525846
lankle,725.29755,592.1657,0.8170644
reye,743.0868,384.58475,0.9325406
leye,754.71893,384.54254,0.48917997
rear,721.4711,396.174,0.7635015
lear,0.0,0.0,0.0
lbigtoe,758.6516,613.71893,0.83540905
lsmalltoe,756.72864,605.8936,0.8048758
lheel,711.6261,601.9847,0.7974137
rbigtoe,694.04224,635.32855,0.84976286
rsmalltoe,680.33466,637.2508,0.8395617
rheel,649.0369,621.5463,0.71974826
nose,754.7249,392.3131,0.84650445
neck,725.3369,433.45386,0.8917995
rshoulder,695.93176,431.5735,0.865629
relbow,666.6785,504.00247,0.82561374
rwrist,664.59204,576.50867,0.7689431
lshoulder,756.7078,433.48706,0.8491833
lelbow,758.7676,496.13562,0.818892
lwrist,760.65576,541.26636,0.8041237
midhip,676.3992,498.15677,0.72540873
rhip,648.9766,500.064,0.72498643
rknee,694.0359,517.7181,0.7593074
rankle,662.71045,615.6433,0.7810864
lhip,701.8667,498.13788,0.68624675
lknee,752.8066,521.56104,0.7943339
lankle,725.3112,592.17505,0.8163974
reye,743.0843,384.4783,0.9558035
leye,754.72736,384.44824,0.504774
rear,719.5159,388.4425,0.78195953
lear,0.0,0.0,0.0
lbigtoe,758.66064,613.7284,0.8311366
lsmalltoe,756.73395,605.89514,0.79950017
lheel,711.6409,601.9538,0.7954265
rbigtoe,694.0514,635.3149,0.8625756
rsmalltoe,680.3479,637.25476,0.8539306
rheel,650.87085,623.49854,0.71836734
nose,754.74316,388.39026,0.8467846
neck,725.3501,431.42618,0.91952133
rshoulder,695.9742,429.53607,0.89457387
relbow,668.6171,503.96613,0.7822214
rwrist,664.61456,574.57874,0.7998532
lshoulder,756.64215,431.47556,0.8654133
lelbow,758.68964,492.17914,0.81593215
lwrist,760.7208,539.2197,0.6929597
midhip,676.42377,496.1352,0.7469992
rhip,649.0312,494.29337,0.7537097
rknee,694.0598,521.61316,0.79297566
rankle,664.57697,613.7266,0.7744301
lhip,701.8478,496.1552,0.70132905
lknee,750.87305,523.5315,0.8470683
lankle,723.4099,592.1897,0.81194323
reye,744.9017,382.57874,0.9487566
leye,754.7452,382.51852,0.4621656
rear,721.45074,384.60703,0.8176164
lear,0.0,0.0,0.0
lbigtoe,758.63544,613.72906,0.8283918
lsmalltoe,756.69525,605.8943,0.78224057
lheel,711.616,601.9251,0.7973151
rbigtoe,694.0353,635.3137,0.8568383
rsmalltoe,680.3406,637.24713,0.8464223
rheel,650.9308,621.5762,0.69268084
nose,756.676,384.5946,0.89825106
neck,725.34875,431.43683,0.92034686
rshoulder,695.9634,429.56647,0.8755828
relbow,670.4914,496.22064,0.8003827
rwrist,664.64667,574.5707,0.79556996
lshoulder,756.6466,431.43903,0.8667262
lelbow,758.7237,494.2285,0.8346541
lwrist,762.58356,541.2572,0.7095473
midhip,668.5748,494.12985,0.69384986
rhip,647.0058,494.19162,0.73807305
rknee,694.0239,521.6085,0.75344735
rankle,664.59814,613.67053,0.77369344
lhip,695.9802,492.29553,0.66315544
lknee,746.94995,521.56177,0.8135078
lankle,725.30005,592.1491,0.8190016
reye,744.9551,382.47394,0.94007766
leye,756.68427,382.41345,0.5241889
rear,723.38983,384.5981,0.8295009
lear,0.0,0.0,0.0
lbigtoe,756.7415,613.7135,0.8172506
lsmalltoe,756.6807,605.85315,0.79243904
lheel,711.65704,601.8934,0.7711606
rbigtoe,694.0505,635.31244,0.8493057
rsmalltoe,680.35754,637.2306,0.84311205
rheel,650.96045,619.6437,0.6980696
nose,756.76276,384.55948,0.9189416
