,x,y,confidence
nose,762.597,380.50684,0.87379694
neck,735.15497,431.4255,0.8787045
rshoulder,707.7149,429.62833,0.8298536
relbow,664.6939,507.86884,0.8067162
rwrist,656.84265,584.3198,0.6144427
lshoulder,760.6966,431.4228,0.88747716
lelbow,774.26697,492.30948,0.85787797
lwrist,776.36163,537.2709,0.62502265
midhip,682.2898,494.2802,0.7748305
rhip,660.69165,494.2165,0.7198697
rknee,692.10016,537.305,0.8688179
rankle,666.6683,619.60455,0.851425
lhip,709.64484,494.24466,0.72254115
lknee,778.3233,511.8399,0.8778051
lankle,729.3261,599.9939,0.85243404
reye,748.9192,370.83282,0.85223746
leye,762.6187,368.82098,0.7235591
rear,731.2232,386.52426,0.8401299
lear,0.0,0.0,0.0
lbigtoe,762.6169,619.6283,0.850572
lsmalltoe,762.6093,617.52576,0.8160559
lheel,715.5851,603.9951,0.8148606
rbigtoe,705.7858,641.167,0.82776266
rsmalltoe,694.0448,645.05444,0.7886598
rheel,658.7663,633.2399,0.77757335
nose,762.63293,380.56082,0.8819736
neck,735.207,429.6265,0.8764237
rshoulder,709.64417,429.60248,0.8357054
relbow,664.70825,507.86246,0.8046942
rwrist,658.7974,584.289,0.5805277
lshoulder,760.70483,429.62497,0.8848951
lelbow,774.3069,494.16486,0.85736984
lwrist,776.3706,539.2646,0.70636696
midhip,684.29126,494.27664,0.75981736
rhip,662.6981,494.2359,0.72392994
rknee,692.0964,537.3349,0.8651762
rankle,666.67194,619.6036,0.8506299
lhip,711.63617,494.23026,0.73133296
lknee,778.3495,511.8848,0.864091
lankle,729.3235,599.9999,0.85182977
reye,750.8311,372.73624,0.8488677
leye,762.62244,368.8453,0.79313964
rear,731.27466,388.40753,0.83059883
lear,0.0,0.0,0.0
lbigtoe,762.6058,619.62213,0.8483956
lsmalltoe,762.59357,617.53156,0.81213367
lheel,715.57996,605.83765,0.811804
rbigtoe,705.7886,643.0644,0.83015317
rsmalltoe,694.0254,645.06946,0.78836006
rheel,658.77875,633.24414,0.78249395
nose,762.6758,380.56845,0.8758181
neck,737.13947,429.61438,0.88126564
rshoulder,709.7136,429.57095,0.84237087
relbow,666.522,505.90375,0.812143
rwrist,658.12,593.75,0.5887684
lshoulder,760.7343,429.62753,0.87925714
lelbow,774.3231,494.15323,0.84414953
lwrist,776.27795,539.25665,0.67445636
midhip,686.1993,494.23663,0.758917
rhip,664.58325,494.19913,0.7236471
rknee,692.10455,539.1896,0.86401355
rankle,666.6597,619.5866,0.85776025
lhip,711.6688,494.20096,0.7331399
lknee,780.205,511.89328,0.85979897
lankle,729.3105,600.0031,0.8482168
reye,750.8634,372.7224,0.85061824
leye,764.54504,368.8446,0.80497074
rear,731.2301,388.39145,0.83485
lear,0.0,0.0,0.0
lbigtoe,762.60376,619.6381,0.84411734
lsmalltoe,762.6023,617.54425,0.8119472
lheel,715.5588,605.8583,0.8028793
rbigtoe,705.7709,641.1671,0.8213304
rsmalltoe,694.0075,645.05884,0.77512836
rheel,658.77966,633.22675,0.77012944
nose,764.57214,380.58554,0.8743236
neck,739.0464,431.42853,0.88201046
rshoulder,711.56226,429.56027,0.84308386
relbow,666.5708,503.95584,0.82339555
rwrist,658.12,593.75,0.59205294
lshoulder,762.5777,431.49948,0.8746853
lelbow,774.34283,494.18884,0.8447695
lwrist,776.2913,539.2407,0.6730932
midhip,686.17725,494.2451,0.76416487
rhip,662.70715,494.2047,0.72291034
rknee,693.96295,539.16364,0.86833924
rankle,666.6612,619.5728,0.860459
lhip,711.6548,494.20386,0.7361829
lknee,780.2035,511.90866,0.8546382
lankle,729.3023,600.00226,0.84829736
reye,752.807,372.7491,0.84631085
leye,764.6064,368.87366,0.79288286
rear,731.30554,388.40936,0.82450736
lear,0.0,0.0,0.0
lbigtoe,762.58826,619.6506,0.84257334
lsmalltoe,762.5891,617.5573,0.8158172
lheel,715.5452,605.8642,0.8010238
