,x,y,confidence
nose,772.38605,374.70914,0.87044483
neck,739.12354,429.6239,0.90040755
rshoulder,711.5882,429.5261,0.8512115
relbow,666.58746,507.91183,0.78085744
rwrist,664.58527,584.3282,0.7452198
lshoulder,764.5666,431.47513,0.86166435
lelbow,774.3212,492.26462,0.8527844
lwrist,778.3329,531.4397,0.52070755
midhip,682.2341,494.17825,0.8127534
rhip,656.82556,492.19455,0.75201905
rknee,695.89026,533.3973,0.86244154
rankle,668.5406,619.5426,0.83334035
lhip,707.7624,496.12317,0.70457536
lknee,782.18524,513.77423,0.8182782
lankle,729.2488,601.91815,0.8670517
reye,758.67847,368.87833,0.9508756
leye,770.4333,366.9401,0.59151113
rear,739.06146,384.54773,0.84383726
lear,0.0,0.0,0.0
lbigtoe,764.5813,621.5651,0.8376162
lsmalltoe,764.53503,617.6334,0.80037177
lheel,713.70966,605.90186,0.8060132
rbigtoe,703.8483,648.87396,0.83311915
rsmalltoe,692.0231,648.9235,0.81066906
rheel,662.61957,629.3578,0.7578383
nose,772.3779,376.64532,0.8678829
neck,741.0049,429.62064,0.90736234
rshoulder,711.6449,429.51334,0.85227287
relbow,666.5985,507.85263,0.78849655
rwrist,664.59314,584.30615,0.74472046
lshoulder,764.6051,431.48886,0.8551827
lelbow,774.3095,492.26236,0.86074007
lwrist,780.2025,537.2765,0.544322
midhip,682.3335,494.25458,0.77843404
rhip,660.7053,492.3156,0.7383696
rknee,694.06555,535.35486,0.8584566
rankle,668.55774,619.5513,0.8320362
lhip,709.6964,496.16156,0.698385
lknee,782.17017,515.7172,0.80106723
lankle,729.2439,601.93524,0.8721434
reye,758.6675,368.9029,0.9424152
leye,770.4425,368.74777,0.6011391
rear,739.0592,384.5562,0.8390466
lear,0.0,0.0,0.0
lbigtoe,764.5868,621.5835,0.8319578
lsmalltoe,764.5404,617.64154,0.7999896
lheel,713.6949,605.9267,0.8015907
rbigtoe,703.8285,647.04803,0.82911587
rsmalltoe,692.0214,648.91644,0.8057154
rheel,662.6333,629.37366,0.7602751
nose,774.242,378.6295,0.8892344
neck,741.0391,431.45428,0.9130215
rshoulder,711.6619,429.5854,0.846045
relbow,666.5772,505.9793,0.796213
rwrist,664.626,586.2224,0.7464746
lshoulder,768.44824,431.52225,0.8470859
lelbow,774.2961,492.283,0.8588077
lwrist,778.3048,539.2266,0.5517123
midhip,686.22675,496.12335,0.752658
rhip,664.58545,494.21616,0.72619855
rknee,694.0294,539.1777,0.87308586
rankle,668.5269,619.53284,0.83277965
