,x,y,confidence
nose,756.71045,413.82953,0.91741765
neck,719.5175,447.2181,0.8480421
rshoulder,682.3361,447.249,0.80490345
relbow,637.25977,509.87405,0.80661184
rwrist,648.92334,570.66364,0.7399199
lshoulder,752.8132,447.19897,0.80643857
lelbow,760.7598,496.12564,0.8058216
lwrist,774.3504,543.167,0.8384751
midhip,672.509,507.8583,0.73515415
rhip,648.9535,507.89487,0.70535547
rknee,674.4497,527.56775,0.7437323
rankle,664.57434,617.5611,0.8349743
lhip,697.92535,507.84958,0.7378664
lknee,756.72296,519.64484,0.8087265
lankle,715.5437,599.93823,0.851295
reye,744.9116,404.11017,0.90687156
leye,758.61615,402.12564,0.79674435
rear,717.5626,411.94336,0.86770135
lear,0.0,0.0,0.0
lbigtoe,746.9141,617.6263,0.87073505
lsmalltoe,745.0563,611.7825,0.7956034
lheel,701.9113,603.91144,0.8230069
rbigtoe,684.28845,635.33923,0.8785136
rsmalltoe,670.5654,637.26306,0.8184059
rheel,654.87134,621.5612,0.64089537
nose,758.6936,413.86093,0.9540276
neck,719.48047,447.2757,0.8304466
rshoulder,686.2197,449.12048,0.768233
relbow,639.15576,507.97903,0.8088009
rwrist,648.86383,570.52325,0.7625315
lshoulder,745.065,449.11218,0.8094115
lelbow,760.74176,498.10373,0.77593553
lwrist,772.4015,541.29,0.8278366
midhip,670.5506,505.93912,0.7139095
rhip,648.94086,507.8285,0.70069396
rknee,670.51135,537.3321,0.7894719
rankle,664.6054,617.58093,0.85695875
lhip,695.9898,504.01855,0.6955267
lknee,754.7367,517.7142,0.77071685
lankle,713.73364,599.94257,0.8554645
reye,745.075,404.09598,0.8873459
leye,760.5955,402.15207,0.8545473
rear,723.4177,411.8978,0.8584299
lear,0.0,0.0,0.0
lbigtoe,746.926,617.6482,0.8872402
lsmalltoe,746.9227,613.6777,0.7994359
lheel,703.78925,603.9221,0.83916247
rbigtoe,684.30707,635.3471,0.88893867
rsmalltoe,672.4628,637.26514,0.8337635
rheel,656.81116,621.55615,0.66482085
nose,760.6315,413.9392,0.9634894
neck,723.36786,449.17258,0.8247254
rshoulder,688.17755,449.13297,0.7673898
relbow,641.13043,509.79114,0.8079305
rwrist,648.8684,570.5561,0.7748458
lshoulder,748.9255,453.02792,0.7696631
lelbow,760.7441,502.0594,0.7661791
lwrist,770.4642,543.2443,0.7768365
midhip,672.46625,503.9938,0.6861122
rhip,648.9455,505.92502,0.6658458
rknee,668.57367,539.20306,0.7920165
rankle,664.6055,617.6204,0.8596791
lhip,696.0108,503.9506,0.6807631
lknee,754.77734,511.89526,0.77606195
lankle,713.706,599.99115,0.87588847
reye,748.9238,406.0462,0.83619463
leye,762.59686,404.06973,0.82821304
rear,727.2299,411.95047,0.8916833
lear,0.0,0.0,0.0
lbigtoe,746.9315,617.6603,0.8999212
lsmalltoe,746.918,613.6915,0.8087644
lheel,703.7896,603.967,0.8655318
rbigtoe,684.2976,635.33356,0.8962513
rsmalltoe,672.46936,637.2592,0.83930594
rheel,656.8337,621.59674,0.67385757
nose,760.7525,415.81113,0.94362676
neck,721.4787,454.98007,0.7941343
rshoulder,692.049,449.16406,0.76848
relbow,641.1481,509.8847,0.79168874
rwrist,648.87317,570.6356,0.80396676
lshoulder,746.9957,458.97482,0.7858606
lelbow,760.6958,504.0188,0.74118406
lwrist,768.47015,541.20404,0.7325825
midhip,674.46124,502.00485,0.68093574
rhip,650.8964,503.95544,0.6362541
rknee,668.58405,539.213,0.7824055
rankle,664.62256,617.6325,0.8715794
lhip,697.94806,500.07596,0.68701535
lknee,752.7967,519.68854,0.7572277
lankle,713.6928,600.00916,0.88516307
reye,754.72833,409.97928,0.85352165
leye,764.60345,407.97763,0.7870452
rear,727.34344,413.87366,0.91814566
lear,0.0,0.0,0.0
lbigtoe,746.9158,617.65735,0.92060137
lsmalltoe,746.9129,613.67444,0.8179664
lheel,703.80237,603.9531,0.8698785
rbigtoe,684.3146,635.3518,0.89216965
rsmalltoe,672.5009,637.26324,0.84916
rheel,658.7484,621.6051,0.69276243
nose,762.6395,415.8905,0.9103985
neck,725.3626,451.13797,0.8366898
rshoulder,694.0388,449.19235,0.76658267
relbow,643.0638,509.87964,0.7898789
rwrist,648.9048,570.6531,0.78883034
lshoulder,752.77466,458.85742,0.76594955
lelbow,760.72485,504.01044,0.719064
lwrist,768.49286,539.24493,0.6751373
midhip,672.4805,498.15973,0.6530743
rhip,648.9179,500.05457,0.61491483
rknee,666.6515,539.2918,0.75219756
rankle,664.60376,617.68805,0.86853456
lhip,697.9142,500.04575,0.6633529
lknee,750.8817,521.59375,0.76881063
lankle,713.687,599.92444,0.87044954
reye,756.6521,411.88333,0.8894079
leye,770.3992,409.92398,0.8040368
rear,729.2579,413.92365,0.9254297
lear,0.0,0.0,0.0
lbigtoe,745.0685,617.6512,0.9249479
lsmalltoe,745.0636,611.7803,0.82128644
lheel,703.7925,603.86646,0.86238635
rbigtoe,686.2172,637.18195,0.8869982
rsmalltoe,674.44257,637.297,0.83826923
rheel,658.73096,623.5362,0.69683254
nose,766.5273,417.82196,0.86333823
neck,725.3309,447.29663,0.853305
rshoulder,696.0046,447.22638,0.8103195
relbow,641.14056,504.02515,0.7175597
rwrist,646.9491,562.7947,0.7792325
lshoulder,746.92163,449.16275,0.7781268
lelbow,758.7372,492.21634,0.7966379
lwrist,768.50916,523.6392,0.78381366
midhip,672.5104,498.1489,0.6452147
rhip,650.91974,502.0088,0.60773665
rknee,666.6227,541.1808,0.7014869
rankle,664.6303,619.5711,0.87744224
lhip,696.0086,496.22333,0.66246223
lknee,750.8551,513.83813,0.7846357
lankle,713.6562,599.9457,0.88413334
reye,758.6539,413.78302,0.9472792
leye,772.3668,411.93408,0.81963325
rear,731.27435,413.92514,0.90624225
lear,0.0,0.0,0.0
lbigtoe,745.0354,617.62305,0.9321736
lsmalltoe,745.0183,611.7204,0.82862294
lheel,701.8704,603.923,0.8475058
rbigtoe,686.24854,637.2071,0.86741
rsmalltoe,676.39874,639.19574,0.8299885
rheel,658.7399,625.4904,0.71917266
nose,770.4078,415.9213,0.8784565
neck,723.4452,447.12854,0.85645443
rshoulder,696.0179,447.26282,0.778997
relbow,643.1078,507.81155,0.7800712
rwrist,645.05945,564.73444,0.7864857
lshoulder,745.05853,445.1449,0.77726144
lelbow,756.6845,480.54184,0.7589332
lwrist,766.52826,519.66315,0.76696724
midhip,666.60547,492.2587,0.68188006
rhip,641.1616,492.30753,0.6601578
rknee,664.71216,549.0488,0.6741816
rankle,664.6462,619.5718,0.8906407
lhip,693.9873,492.26038,0.64631414
lknee,746.9762,513.7711,0.8019685
lankle,713.6487,598.0664,0.87663007
reye,758.7525,411.91635,0.93207586
leye,772.41656,411.8444,0.7307535
rear,731.3163,413.84436,0.891407
lear,0.0,0.0,0.0
lbigtoe,745.00446,617.6222,0.92643356
lsmalltoe,745.0181,611.7208,0.82529837
lheel,701.86194,603.89154,0.84093046
rbigtoe,688.16534,637.2414,0.8761535
rsmalltoe,676.42755,639.2254,0.84197336
rheel,658.7682,625.45575,0.7312715
nose,770.4018,415.92337,0.8771076
neck,723.44714,447.12167,0.85386115
rshoulder,696.01666,447.2648,0.7741445
relbow,643.1012,507.80917,0.7762631
rwrist,645.05914,564.7221,0.78377646
lshoulder,745.0676,443.2818,0.76815414
lelbow,756.72736,482.44327,0.7621455
lwrist,766.5338,519.6834,0.7625314
midhip,666.6077,492.25177,0.68207514
rhip,643.0852,494.1315,0.65760165
rknee,664.7052,549.0711,0.670185
rankle,664.6479,619.571,0.8906843
lhip,693.9707,492.24844,0.64469385
lknee,746.97266,513.81854,0.8038369
lankle,713.6467,598.0669,0.87670755
reye,758.7476,411.91617,0.93212426
leye,772.4138,411.84427,0.73479694
rear,731.316,413.8447,0.8911865
lear,0.0,0.0,0.0
lbigtoe,744.9991,617.61255,0.9286441
lsmalltoe,745.0104,611.71246,0.8275776
lheel,701.86017,603.89185,0.8423549
rbigtoe,688.164,637.249,0.87596285
rsmalltoe,676.42834,641.1053,0.8419111
rheel,658.7717,625.451,0.73116535
nose,770.38995,415.75146,0.8970749
neck,725.3597,445.1347,0.856358
rshoulder,695.9701,443.27792,0.79207176
relbow,645.00055,502.00708,0.72784775
rwrist,645.0798,556.90704,0.7962799
lshoulder,746.99133,443.27972,0.77195996
lelbow,756.72815,484.3926,0.76191545
lwrist,764.5654,525.49097,0.75444597
midhip,664.6337,490.28574,0.66408694
rhip,639.14764,490.24225,0.6624498
rknee,664.68695,541.2313,0.739136
rankle,664.6208,619.52295,0.88376313
lhip,690.13086,492.17804,0.61867446
lknee,746.9496,511.8959,0.8194093
lankle,713.6409,598.05164,0.87529016
reye,758.7277,409.9043,0.9049053
leye,772.40045,404.12958,0.6975585
rear,731.311,411.95343,0.88551044
lear,0.0,0.0,0.0
lbigtoe,744.99176,617.60724,0.94659394
lsmalltoe,744.9994,609.82416,0.84700036
