,x,y,confidence
nose,774.42554,390.38058,0.8860714
neck,741.03235,433.4368,0.8811064
rshoulder,711.57196,431.56964,0.8162306
relbow,682.2389,509.91382,0.8926082
rwrist,680.28845,584.324,0.7111312
lshoulder,772.3254,435.39725,0.8008518
lelbow,774.2645,492.3032,0.71864176
lwrist,782.20874,543.16895,0.70705885
midhip,678.3292,503.97055,0.6794096
rhip,650.93616,505.88474,0.7347091
rknee,711.5792,541.1913,0.8263668
rankle,674.4427,619.5363,0.8149542
lhip,701.87415,502.02255,0.601351
lknee,768.4972,525.5918,0.83372587
lankle,727.36194,601.9039,0.89579594
reye,762.6571,382.59836,0.9230939
leye,776.2946,382.54272,0.7235925
rear,741.0504,384.51898,0.8990592
lear,0.0,0.0,0.0
lbigtoe,760.7148,617.66064,0.9140698
lsmalltoe,760.5723,613.7107,0.8089249
lheel,713.68494,604.0094,0.80410755
rbigtoe,699.92267,646.9999,0.85572183
rsmalltoe,686.222,646.9864,0.81334174
rheel,664.65515,623.51715,0.7652273
nose,774.4324,390.34192,0.88836503
neck,741.03235,433.4463,0.8783765
rshoulder,711.57684,431.6097,0.81132495
relbow,682.2322,509.95203,0.8990541
rwrist,680.28784,584.35,0.72699594
lshoulder,770.4666,433.5238,0.8007516
lelbow,772.4214,494.14676,0.692469
lwrist,782.1693,543.2172,0.6711308
midhip,678.3196,503.98807,0.6735147
rhip,650.9409,505.91904,0.73649806
rknee,711.5723,541.2412,0.8219703
rankle,674.4503,619.5523,0.8146856
lhip,701.8503,502.019,0.5936807
lknee,768.48,525.58234,0.8305408
lankle,727.3656,601.90173,0.89531463
reye,762.66644,382.57614,0.9232526
leye,776.29065,382.5101,0.6995244
rear,741.0568,384.51633,0.9029749
lear,0.0,0.0,0.0
lbigtoe,760.71826,617.6639,0.91247654
lsmalltoe,760.5769,613.7099,0.8072769
lheel,713.6882,604.0018,0.80599487
rbigtoe,699.9156,646.9969,0.8555953
rsmalltoe,686.2188,646.9856,0.81519514
rheel,664.6592,623.5373,0.76220185
nose,776.2535,388.4045,0.8952369
neck,741.0672,431.5984,0.8898623
rshoulder,711.5999,431.5849,0.8173349
relbow,682.23627,509.9428,0.90822345
rwrist,680.28076,584.3409,0.7307866
lshoulder,772.35187,433.45157,0.8162323
lelbow,772.3283,492.29547,0.55973697
lwrist,780.24536,543.16174,0.47731987
midhip,678.3543,503.97977,0.6792312
rhip,650.95996,505.91898,0.7364572
rknee,711.5588,541.2843,0.81050086
rankle,674.4535,619.544,0.8157457
lhip,701.8767,500.10995,0.59235895
lknee,766.5554,525.57104,0.8016747
lankle,727.3713,601.8984,0.89226294
reye,764.5785,382.53232,0.9077629
leye,776.2788,382.47607,0.545294
rear,741.08325,384.47562,0.91421515
lear,0.0,0.0,0.0
lbigtoe,760.7208,617.665,0.9110768
lsmalltoe,760.585,613.70435,0.8059043
lheel,713.69073,603.9963,0.80274737
rbigtoe,699.91125,646.9812,0.85281485
rsmalltoe,686.2087,646.9682,0.81350994
rheel,664.66504,623.5205,0.76108456
nose,776.2767,388.40976,0.89449924
neck,741.0763,431.6095,0.8925415
rshoulder,711.60706,431.60403,0.8154849
relbow,682.23914,509.94144,0.9058532
rwrist,680.2878,586.2097,0.7342682
lshoulder,772.346,433.44913,0.82012177
lelbow,772.3707,492.30396,0.5920028
lwrist,780.23865,543.17566,0.50116616
midhip,678.3608,503.9913,0.6824986
rhip,650.9659,505.94135,0.74337167
rknee,711.555,541.285,0.80606586
rankle,674.46484,619.5446,0.8152697
lhip,701.88727,500.10278,0.58979195
lknee,768.44257,525.57623,0.8036895
lankle,727.3716,601.8992,0.8931552
reye,764.6052,382.53543,0.90408355
leye,776.2981,382.48,0.5520018
rear,741.08514,384.48843,0.91387045
lear,0.0,0.0,0.0
lbigtoe,760.72296,617.6664,0.9107634
lsmalltoe,760.58484,613.7082,0.80529356
lheel,713.6893,603.9959,0.8047121
rbigtoe,699.9129,646.9831,0.8543085
rsmalltoe,686.21185,646.9682,0.8138871
rheel,664.6809,623.51874,0.76192814
nose,776.31665,388.40955,0.8906282
neck,742.8996,433.435,0.8999315
rshoulder,711.57806,433.47733,0.8103456
relbow,682.2369,509.94586,0.9039506
rwrist,680.28894,586.2162,0.73558444
lshoulder,772.40454,431.61157,0.8399297
lelbow,774.28845,492.26743,0.73808444
lwrist,784.1203,543.1628,0.70225567
midhip,678.3615,504.01257,0.6866747
rhip,650.96716,505.97446,0.75127107
rknee,711.5825,541.27985,0.81319946
rankle,674.4522,619.54224,0.8141644
lhip,701.8951,500.0973,0.59247273
lknee,768.50085,525.55035,0.83389074
lankle,727.37164,601.901,0.89504373
reye,766.5141,382.538,0.900004
leye,776.3358,382.47647,0.5707631
rear,742.9065,384.5062,0.914652
lear,0.0,0.0,0.0
lbigtoe,760.72955,617.6688,0.9078133
lsmalltoe,760.586,613.712,0.80461407
lheel,713.68976,603.9994,0.80757374
rbigtoe,699.90076,646.982,0.8530066
rsmalltoe,686.19574,646.96643,0.8134762
rheel,664.67084,623.51154,0.7617118
nose,776.3813,388.40118,0.88176703
neck,742.9386,431.62012,0.9058088
rshoulder,711.57385,435.4037,0.79196084
relbow,682.24713,511.8441,0.8902417
rwrist,680.3107,588.1928,0.73211443
lshoulder,774.24426,431.5303,0.8639034
lelbow,774.3845,492.3006,0.75356734
lwrist,782.2145,543.14923,0.68510675
midhip,678.3349,502.0537,0.6609383
rhip,650.9288,505.96814,0.7452976
rknee,711.61365,541.2801,0.8193728
rankle,674.467,619.5256,0.80857676
lhip,703.8131,496.20694,0.5836848
lknee,768.5077,525.5631,0.8380127
lankle,727.35333,601.9069,0.8945411
reye,768.50903,382.53928,0.90898323
leye,776.3958,382.46423,0.4618227
rear,742.9316,384.52228,0.91254944
lear,0.0,0.0,0.0
lbigtoe,760.7364,617.6787,0.90680104
lsmalltoe,760.5876,613.72736,0.80781114
lheel,713.66956,603.98987,0.8228241
rbigtoe,699.8811,646.97345,0.855892
rsmalltoe,686.1928,646.94476,0.809266
rheel,664.6953,623.4814,0.7638579
nose,778.30896,392.3063,0.85214007
neck,742.97894,433.4896,0.89921606
rshoulder,711.58734,437.39212,0.7955603
relbow,682.3184,511.87344,0.87888515
rwrist,680.34796,588.2663,0.7273798
lshoulder,774.3057,431.60104,0.8732681
lelbow,776.23944,494.25348,0.7930226
lwrist,780.27637,543.24646,0.73605573
midhip,672.4733,498.0905,0.65534467
rhip,649.0278,502.01495,0.7289401
rknee,709.7317,541.16473,0.7872348
rankle,676.3579,617.6489,0.80355227
lhip,697.9662,494.26584,0.5826084
lknee,764.56976,525.4666,0.8289223
lankle,727.3772,601.902,0.88738227
reye,772.3287,384.40393,0.9253735
leye,778.3317,382.5921,0.5033159
rear,742.9955,386.44754,0.90301675
lear,0.0,0.0,0.0
lbigtoe,762.56805,617.71075,0.8927783
lsmalltoe,760.63,615.59735,0.8023631
lheel,713.70056,603.9883,0.80190355
rbigtoe,698.04504,646.972,0.853077
rsmalltoe,686.16705,645.0821,0.8026279
rheel,666.53375,621.5779,0.76702917
nose,780.2371,392.29272,0.83777857
