,x,y,confidence
nose,803.72125,396.27585,0.8957195
neck,760.72534,441.2666,0.84512264
rshoulder,729.3867,441.26212,0.79108626
relbow,711.5937,507.876,0.8757396
rwrist,707.7027,588.2138,0.7205209
lshoulder,792.0392,439.34363,0.83160627
lelbow,805.5951,498.11218,0.8007714
lwrist,809.65515,554.92236,0.8587474
midhip,701.9006,507.89026,0.73167765
rhip,678.37244,507.87015,0.79239273
rknee,727.3327,535.3629,0.68998355
rankle,697.87885,635.2057,0.769492
lhip,727.3909,507.88785,0.6868011
lknee,791.9673,525.63947,0.84538084
lankle,758.7654,603.9673,0.85873574
reye,791.952,384.5893,0.90815884
leye,803.7013,384.49628,0.22655314
rear,760.70886,392.35434,0.81422246
lear,0.0,0.0,0.0
lbigtoe,793.9212,627.45074,0.8591205
lsmalltoe,792.04095,619.6718,0.8590545
lheel,744.9433,611.7732,0.76200366
rbigtoe,733.2437,662.6505,0.783306
rsmalltoe,723.39465,664.5699,0.7320027
rheel,684.2068,645.0721,0.6366998
nose,801.78735,396.2634,0.87242615
neck,762.61755,439.36588,0.8294326
rshoulder,731.2566,441.27042,0.7824184
relbow,711.6119,507.91714,0.88499564
rwrist,707.77435,586.22253,0.7185308
lshoulder,793.9113,437.41318,0.8136772
lelbow,805.60626,496.16943,0.8191289
lwrist,809.66077,554.90497,0.85668087
midhip,703.8123,507.85986,0.71805096
rhip,678.39325,507.88348,0.7986411
rknee,727.2886,537.2644,0.64726454
rankle,697.88403,633.3581,0.7823621
lhip,729.2739,507.8349,0.6612098
lknee,791.95184,525.62366,0.8496114
lankle,760.57135,603.95483,0.85879517
reye,790.06683,384.6061,0.90451616
leye,801.7767,384.48865,0.4761378
rear,760.584,394.25754,0.82816124
lear,0.0,0.0,0.0
lbigtoe,793.92206,627.4556,0.8551369
lsmalltoe,792.04553,619.67725,0.85535043
lheel,744.9757,611.76733,0.76066315
rbigtoe,733.2437,662.63257,0.77763176
rsmalltoe,723.39764,664.54785,0.72885185
rheel,684.2233,645.0453,0.6390326
nose,801.8001,396.2008,0.84756726
neck,762.5952,439.35345,0.8363998
rshoulder,731.2201,441.27243,0.7833079
relbow,711.717,507.95654,0.8796133
rwrist,709.7141,586.3549,0.7674877
lshoulder,792.098,435.47693,0.8106092
lelbow,805.6046,494.27365,0.8472949
lwrist,809.68146,554.8947,0.8572457
midhip,705.7954,505.98456,0.7155774
rhip,680.268,505.97583,0.79325026
rknee,727.26117,533.4077,0.6078322
rankle,697.8701,633.3395,0.7740338
lhip,729.37646,505.97113,0.65927416
lknee,791.94775,527.53094,0.85850465
lankle,760.56665,603.94464,0.8620426
reye,790.07324,384.56705,0.90413415
leye,801.79626,384.4611,0.5314084
rear,760.65845,392.35532,0.80873233
lear,0.0,0.0,0.0
lbigtoe,793.91876,629.3404,0.8530274
lsmalltoe,792.0472,619.6875,0.85157186
lheel,744.9753,611.74695,0.7733378
rbigtoe,733.2344,662.639,0.7751564
rsmalltoe,723.389,664.545,0.7272159
rheel,682.36145,645.04846,0.6352432
nose,805.60724,396.26266,0.8413687
neck,766.49115,435.40262,0.8226539
rshoulder,735.17236,435.46576,0.7667153
relbow,713.65265,507.835,0.8263659
rwrist,711.62286,582.38635,0.7388768
lshoulder,793.99634,433.49283,0.81549907
lelbow,803.7239,492.32043,0.8405123
lwrist,809.66187,556.9046,0.8338063
midhip,709.71954,494.2714,0.6845804
rhip,682.23334,496.19662,0.7423315
rknee,729.2921,543.21606,0.691029
rankle,697.9402,629.38995,0.7763712
lhip,741.04626,494.14185,0.62696075
lknee,789.981,535.37555,0.8404963
lankle,760.55994,603.92804,0.868628
reye,791.98846,384.58517,0.8530481
leye,805.64923,384.4076,0.2901865
rear,764.5607,388.4566,0.77457815
lear,0.0,0.0,0.0
lbigtoe,793.9462,629.3956,0.8688411
lsmalltoe,792.0463,621.5344,0.8482906
lheel,744.99774,611.7571,0.7831854
rbigtoe,733.1938,664.5813,0.7863021
rsmalltoe,719.47797,664.58563,0.7021133
rheel,686.1763,635.23444,0.621333
nose,805.75867,396.21115,0.869635
neck,764.54785,433.47195,0.8367323
rshoulder,733.2464,433.53952,0.77627575
relbow,713.5938,505.9525,0.83495504
rwrist,711.5582,582.34064,0.6851159
lshoulder,793.9105,431.59256,0.83801717
lelbow,801.7872,492.3001,0.82570106
lwrist,809.6223,556.96545,0.8310788
midhip,711.6629,494.19867,0.71666163
rhip,682.31177,494.2198,0.7779608
rknee,729.36816,541.1856,0.74680793
rankle,697.99445,627.39777,0.776592
lhip,741.0636,492.3106,0.6407731
lknee,788.0223,535.3463,0.8244813
lankle,760.5745,603.9719,0.8878814
reye,794.00964,384.54425,0.8390984
leye,807.6021,382.5864,0.2391649
rear,768.5067,386.43564,0.7870061
lear,0.0,0.0,0.0
lbigtoe,793.94324,629.399,0.87726355
lsmalltoe,792.0349,621.5329,0.8552503
lheel,745.06146,613.71,0.76352364
rbigtoe,731.3187,662.6998,0.7912646
rsmalltoe,717.5693,662.6796,0.7126631
rheel,686.2233,633.33765,0.64844614
nose,805.75916,396.21457,0.87040126
neck,764.55005,433.47165,0.83671623
rshoulder,733.24854,433.53308,0.7767948
relbow,713.59595,505.94757,0.8332337
rwrist,711.55927,582.33374,0.68647844
lshoulder,793.90955,431.59512,0.8363931
lelbow,801.7902,492.31052,0.8268979
lwrist,809.6132,556.9719,0.8334077
midhip,711.64667,494.1912,0.7147589
rhip,682.30237,494.2192,0.7798196
rknee,729.3641,541.1881,0.746403
rankle,697.99524,627.4058,0.77682614
lhip,741.0477,492.29837,0.6387074
lknee,788.0208,535.3425,0.8236345
lankle,760.5743,603.96967,0.8883042
reye,794.01074,384.5454,0.83860445
leye,807.6003,382.5896,0.24024007
rear,768.5103,386.44342,0.784699
lear,0.0,0.0,0.0
lbigtoe,793.9396,629.39856,0.8772048
lsmalltoe,792.0331,621.5337,0.8553785
lheel,745.06085,613.7061,0.762569
rbigtoe,731.3213,662.7018,0.7918212
rsmalltoe,717.5713,662.68146,0.71365076
rheel,686.22577,633.3453,0.64791405
nose,811.6187,388.46094,0.7942828
neck,772.352,431.54187,0.88754725
rshoulder,741.05963,431.56528,0.80996275
relbow,713.6385,502.05078,0.80904496
rwrist,709.72534,572.56506,0.7831928
lshoulder,803.67084,431.51556,0.82670766
lelbow,803.7097,488.35303,0.78558826
lwrist,807.7413,554.84485,0.81723446
midhip,705.79895,480.4935,0.5718203
rhip,680.3353,480.50812,0.7221774
rknee,729.38,541.2719,0.7591315
rankle,697.94543,629.3876,0.816343
lhip,744.9418,482.4744,0.5525122
lknee,780.2543,535.3448,0.7999899
lankle,758.7134,603.98773,0.9019217
reye,805.5958,382.57867,0.87404656
leye,811.5778,382.48703,0.39269114
rear,774.3538,384.53378,0.86423624
lear,0.0,0.0,0.0
lbigtoe,794.007,629.34033,0.8571776
lsmalltoe,792.0666,619.6565,0.8378555
lheel,745.04767,613.65216,0.780886
rbigtoe,733.19183,662.6403,0.802909
rsmalltoe,719.4723,662.6479,0.7364336
rheel,686.21155,635.2822,0.71782243
nose,813.5422,388.39322,0.77810866
neck,774.276,429.46506,0.8890501
rshoulder,742.9883,429.46893,0.8326182
relbow,713.65,502.0129,0.7833095
rwrist,709.7116,570.6266,0.7709439
lshoulder,805.59393,427.59882,0.84302235
lelbow,803.7294,484.43262,0.74931026
lwrist,807.6418,543.24304,0.8372797
midhip,707.7361,476.57843,0.6418456
rhip,680.37305,476.55093,0.75259256
rknee,731.2507,539.28143,0.7477726
rankle,697.9006,631.29846,0.8305501
lhip,741.01306,478.52756,0.57172525
