,x,y,confidence
nose,742.9486,386.50363,0.9039718
neck,711.7384,431.54477,0.9415878
rshoulder,682.2799,431.5386,0.84697264
relbow,654.83575,505.98547,0.8276363
rwrist,650.99426,582.3602,0.5513918
lshoulder,742.9866,431.50467,0.90056765
lelbow,756.64624,492.23874,0.7480462
lwrist,764.529,537.33167,0.8064867
midhip,660.7295,507.9235,0.76649845
rhip,633.29736,505.97607,0.7828949
rknee,680.3029,531.4142,0.8083224
rankle,652.94824,607.8649,0.76826155
lhip,684.2398,509.80215,0.72051376
lknee,745.0454,521.6518,0.8545495
lankle,709.66125,596.09534,0.8292746
reye,729.40857,382.56412,0.9538022
leye,742.9537,382.49197,0.634787
rear,709.7174,386.42706,0.8800723
lear,0.0,0.0,0.0
lbigtoe,741.06775,615.5903,0.8582735
lsmalltoe,739.10004,605.9472,0.78488517
lheel,696.0262,602.02106,0.82714474
rbigtoe,678.34534,635.23047,0.8791299
rsmalltoe,664.6534,635.2355,0.87156034
rheel,648.9557,615.69586,0.7319412
nose,742.9738,386.51605,0.90434295
neck,713.54407,431.53415,0.9385437
rshoulder,682.3265,431.51236,0.8439325
relbow,654.87744,505.98468,0.8152734
rwrist,651.03046,586.2464,0.52896214
lshoulder,742.9904,431.5174,0.89484847
lelbow,756.6659,492.29944,0.76133734
lwrist,764.5412,539.1696,0.80891937
midhip,660.744,507.9269,0.76642406
rhip,633.29987,505.9682,0.78283036
rknee,680.3035,529.4913,0.8058378
rankle,652.9666,609.76917,0.761568
lhip,684.2622,509.8129,0.72073
lknee,745.0635,523.4815,0.8531654
lankle,709.66284,596.0897,0.8291696
reye,731.2241,382.57098,0.94985163
leye,742.9818,382.4953,0.6446875
rear,709.73303,386.4337,0.87689286
lear,0.0,0.0,0.0
lbigtoe,741.0803,615.585,0.8602447
lsmalltoe,739.11096,605.94415,0.7868158
lheel,696.0216,602.0261,0.82649827
rbigtoe,678.33435,635.2299,0.8764133
rsmalltoe,664.64795,635.23987,0.8689888
rheel,648.987,617.5468,0.73484707
nose,743.0054,388.37885,0.9063947
neck,713.55664,431.51672,0.94038445
rshoulder,682.3536,431.49542,0.8383221
relbow,654.8841,507.83063,0.81959665
rwrist,651.0412,586.28217,0.5203205
lshoulder,742.9876,431.49838,0.89844
lelbow,756.65045,492.2742,0.75174534
lwrist,764.53577,539.1719,0.80430245
midhip,660.7492,507.9131,0.7675778
rhip,633.3146,505.94052,0.77914095
rknee,680.2776,529.46436,0.79521585
rankle,652.9561,607.87024,0.7579949
lhip,684.2529,509.8092,0.72952247
lknee,745.06177,523.4794,0.85278976
lankle,709.657,596.08264,0.82686114
reye,731.2534,382.5766,0.9441526
leye,743.0159,382.48822,0.64130193
rear,711.55945,386.41724,0.8799044
lear,0.0,0.0,0.0
lbigtoe,741.07465,615.58575,0.8585811
lsmalltoe,739.1012,605.9421,0.7852709
lheel,696.01495,602.01886,0.82428384
rbigtoe,678.3292,635.22955,0.87447006
rsmalltoe,664.6421,635.2365,0.8653791
rheel,648.9848,617.5356,0.72911906
nose,743.0299,388.40717,0.9057432
neck,713.5652,431.526,0.9386926
rshoulder,682.35016,431.54,0.8314311
relbow,654.90015,507.84476,0.82508063
rwrist,651.0425,588.22546,0.54410154
lshoulder,743.00684,431.47568,0.8990434
lelbow,754.7571,492.19077,0.7426343
lwrist,764.536,537.335,0.79216325
midhip,660.7276,507.89743,0.7587196
rhip,633.30774,505.93375,0.77518785
rknee,680.2904,529.4772,0.7922056
rankle,652.9644,609.7732,0.75203204
lhip,684.2133,507.98346,0.73342276
lknee,745.0411,523.5014,0.86181676
lankle,709.64386,596.0732,0.82480156
reye,731.27875,382.59482,0.93949735
leye,743.043,382.4994,0.63249964
rear,711.58453,386.42923,0.8842428
lear,0.0,0.0,0.0
lbigtoe,741.0663,615.59344,0.86140007
lsmalltoe,739.08856,607.7955,0.78378576
lheel,696.0041,602.0048,0.82347894
rbigtoe,678.3313,635.24603,0.87314475
rsmalltoe,664.64246,635.2504,0.8661099
rheel,648.9907,617.55,0.7321267
nose,743.0505,388.4391,0.90241086
neck,713.5696,431.55133,0.9345063
rshoulder,682.3471,431.59412,0.82509816
relbow,656.7911,507.85693,0.82991743
rwrist,651.0285,588.2785,0.5719222
lshoulder,743.014,431.4671,0.8995779
lelbow,754.7172,490.31384,0.7452197
lwrist,762.6776,539.1604,0.79095495
midhip,660.74414,507.90747,0.7596557
rhip,633.3073,505.94952,0.77547777
rknee,680.2675,529.4593,0.7744412
rankle,652.9441,609.7597,0.74673045
lhip,684.25275,507.9856,0.7312616
lknee,745.0626,523.50696,0.85979784
lankle,709.63495,596.05756,0.8213117
reye,731.2919,382.60544,0.93603134
leye,743.075,382.506,0.6574234
rear,711.59863,386.4483,0.8847525
lear,0.0,0.0,0.0
lbigtoe,741.05695,615.5937,0.862169
lsmalltoe,739.0819,607.7938,0.7848741
lheel,695.9891,601.99384,0.8221685
rbigtoe,678.33594,635.2544,0.8662482
rsmalltoe,664.64404,635.2574,0.8565271
rheel,648.9657,615.6986,0.7169953
nose,743.05975,388.42465,0.9064733
neck,713.5963,431.54956,0.930553
rshoulder,684.2005,431.5724,0.82556903
relbow,656.83105,507.90573,0.8319884
rwrist,651.02716,590.18567,0.56767297
lshoulder,743.02625,431.48276,0.8934483
lelbow,754.7943,492.244,0.75606984
lwrist,764.53796,539.2297,0.79754925
midhip,662.62195,507.9028,0.7600049
