,x,y,confidence
nose,746.9974,413.83133,0.9025494
neck,713.7163,451.13455,0.8687663
rshoulder,680.35333,453.0287,0.78637826
relbow,635.2212,507.83362,0.84824365
rwrist,639.15533,562.7922,0.69639254
lshoulder,746.9611,449.21643,0.8221456
lelbow,760.73944,498.1646,0.76905155
lwrist,774.2739,541.2408,0.8285179
midhip,680.2422,515.76575,0.7189401
rhip,654.88135,519.64526,0.6406489
rknee,668.6165,527.4923,0.74918544
rankle,664.5981,617.60626,0.8580151
lhip,699.92975,513.82745,0.6995765
lknee,756.69653,513.79126,0.7899039
lankle,711.6874,599.978,0.879615
reye,740.98193,404.12424,0.85801333
leye,748.87836,402.09122,0.82921124
rear,713.5609,413.85458,0.9403409
lear,0.0,0.0,0.0
lbigtoe,744.9887,617.6219,0.88264596
lsmalltoe,744.9568,611.7844,0.78982264
lheel,697.97363,604.0103,0.8651281
rbigtoe,682.2445,635.2691,0.9282645
rsmalltoe,666.70056,635.3234,0.84801733
rheel,660.7162,621.5495,0.70204973
nose,750.8192,413.85748,0.89853764
neck,715.62274,451.12106,0.8334176
rshoulder,682.2732,451.1067,0.78319335
relbow,635.1948,505.91736,0.8418136
rwrist,639.21936,564.7197,0.7101018
lshoulder,746.9659,451.09756,0.8112275
lelbow,760.689,498.16428,0.76165396
lwrist,772.3211,541.2613,0.8024862
midhip,680.30206,511.8363,0.7393305
rhip,658.7408,513.80115,0.6480102
rknee,666.66125,529.48956,0.761096
rankle,664.59955,617.6295,0.85981905
lhip,701.8564,509.94702,0.70732826
lknee,756.7127,515.7238,0.76413584
lankle,711.7031,599.99927,0.8844289
reye,741.0791,406.05026,0.8822999
leye,752.8107,402.13333,0.8331293
rear,713.7327,413.87723,0.9257561
lear,0.0,0.0,0.0
lbigtoe,744.9973,617.644,0.88116306
lsmalltoe,744.97864,613.6765,0.79022
lheel,697.979,604.0001,0.87734234
rbigtoe,682.2475,635.2797,0.9264445
rsmalltoe,668.52905,635.3425,0.8500056
rheel,660.7327,621.5551,0.7048907
nose,756.67017,413.92896,0.9201556
neck,717.5691,449.17355,0.833225
rshoulder,682.36176,449.13733,0.78741664
relbow,635.21,507.82837,0.84612656
rwrist,639.1674,558.9105,0.7768991
lshoulder,748.8823,449.1999,0.8048977
lelbow,760.62396,494.29333,0.78089845
lwrist,768.5092,541.1701,0.757558
midhip,676.4161,509.8319,0.7643744
rhip,650.986,509.88986,0.7144185
rknee,666.6304,531.4162,0.78415513
rankle,664.60175,617.6433,0.8655445
lhip,698.0121,509.80142,0.7399935
lknee,756.6606,513.8387,0.77392954
lankle,711.6744,599.9825,0.88685226
reye,743.08,407.99973,0.9056644
leye,758.58636,404.05627,0.8135737
rear,717.5404,413.8705,0.9013531
lear,0.0,0.0,0.0
lbigtoe,744.991,617.6521,0.88952625
lsmalltoe,744.96094,613.67554,0.79751676
lheel,697.931,603.96045,0.8877325
rbigtoe,682.25287,635.30524,0.924298
rsmalltoe,668.53784,637.183,0.84460515
rheel,660.7406,621.57355,0.7225045
nose,758.63104,413.9539,0.95549405
neck,719.5171,449.20837,0.819492
rshoulder,684.28107,449.21182,0.7611708
relbow,635.3019,507.95267,0.84929144
rwrist,637.2604,558.8408,0.8397554
lshoulder,748.87964,449.20786,0.79488015
lelbow,758.7511,494.28467,0.75593585
lwrist,768.4408,539.1939,0.7073107
midhip,674.46356,507.97998,0.75135803
rhip,650.8967,509.84555,0.7222393
rknee,666.61426,531.4293,0.79190314
rankle,664.6093,617.6376,0.8671201
lhip,697.9597,507.94113,0.7430459
lknee,754.7322,515.7632,0.76801646
lankle,711.69446,599.95807,0.8842132
reye,744.99927,409.91364,0.90249884
leye,758.73975,404.06186,0.83391064
rear,721.4268,413.89545,0.89837885
lear,0.0,0.0,0.0
lbigtoe,745.0077,617.6749,0.8750986
lsmalltoe,744.9911,613.68933,0.786432
lheel,697.9575,603.9317,0.895055
rbigtoe,682.2843,635.33966,0.9037766
rsmalltoe,668.55023,637.2143,0.8328929
rheel,660.7399,621.5735,0.7337442
nose,758.7275,415.75845,0.97187024
neck,721.4559,449.17993,0.83095837
rshoulder,686.2193,451.09473,0.7524367
relbow,637.1775,507.9712,0.8444953
rwrist,637.2471,556.9347,0.85720396
lshoulder,748.91327,449.1499,0.7947775
lelbow,758.65216,492.2083,0.774078
lwrist,768.4889,529.4759,0.6844194
midhip,676.41705,507.88397,0.765393
rhip,652.8602,507.9538,0.7379317
rknee,666.56335,533.3785,0.8038602
rankle,664.5847,617.58716,0.8573394
lhip,697.9711,507.84937,0.74176717
lknee,752.79425,519.68994,0.77856386
lankle,711.7008,599.9271,0.87923807
reye,746.91406,409.96915,0.89234304
leye,760.58844,404.12253,0.8525718
rear,725.3332,413.90524,0.9169259
lear,0.0,0.0,0.0
lbigtoe,744.9756,617.66156,0.9001994
lsmalltoe,744.9598,613.676,0.81105673
lheel,697.97437,603.8801,0.88821936
rbigtoe,682.28534,635.32886,0.9104997
rsmalltoe,668.54944,637.19403,0.83096004
rheel,660.7379,619.6866,0.74202055
nose,760.5867,415.83804,0.9566729
neck,723.4017,449.11008,0.83841974
