,x,y,confidence
nose,758.5956,376.64008,0.897114
neck,727.3782,429.44006,0.9174094
rshoulder,697.95667,427.60397,0.8525556
relbow,664.5975,507.8881,0.74440664
rwrist,649.0096,576.5308,0.7210534
lshoulder,756.7265,427.5922,0.8353888
lelbow,762.5934,490.25864,0.8142222
lwrist,774.4134,541.23486,0.7574529
midhip,672.47473,492.18613,0.78004396
rhip,648.9665,490.22964,0.7691438
rknee,684.2643,531.4207,0.811149
rankle,664.62274,617.58844,0.8890924
lhip,697.9075,492.25516,0.7411557
lknee,772.36926,513.7753,0.8559289
lankle,725.4184,599.97473,0.85762703
reye,744.9046,368.863,0.9729064
leye,758.7179,368.7761,0.8326245
rear,725.3889,384.43066,0.8909274
lear,0.0,0.0,0.0
lbigtoe,758.6806,619.6707,0.87384325
lsmalltoe,758.6645,617.57697,0.855227
lheel,711.64056,603.94495,0.84455544
rbigtoe,696.0419,643.1043,0.8853558
rsmalltoe,682.3085,645.0439,0.8500036
rheel,652.91925,623.5378,0.7084807
nose,756.7275,376.6236,0.8814422
neck,727.38,427.6142,0.9118739
rshoulder,697.9521,427.6108,0.8523002
relbow,664.5888,507.86578,0.7347705
rwrist,649.013,578.4197,0.74321014
lshoulder,756.7225,427.52225,0.81471586
lelbow,760.73914,488.35776,0.8117146
lwrist,776.2318,541.158,0.7522062
midhip,676.3564,492.2118,0.7782881
rhip,650.89246,492.13687,0.7767183
rknee,684.249,535.3305,0.8360592
rankle,664.6377,617.6068,0.89476013
lhip,697.9963,492.21802,0.7354525
lknee,772.38763,513.83026,0.8534524
lankle,727.23267,599.9984,0.8690027
reye,743.07196,368.85147,0.9781526
leye,758.6128,368.7773,0.7759852
rear,725.3382,384.4045,0.8769351
lear,0.0,0.0,0.0
lbigtoe,758.6861,619.6492,0.87919843
lsmalltoe,758.6553,617.5634,0.8569636
lheel,711.65497,603.9722,0.84801143
rbigtoe,696.0266,643.0794,0.88768303
rsmalltoe,682.2871,645.02795,0.84865963
rheel,652.9297,625.44196,0.7113943
nose,756.67114,374.72266,0.87075067
neck,727.36194,429.43246,0.91574335
rshoulder,697.9511,427.62674,0.8551296
relbow,664.6032,505.96902,0.7468154
rwrist,648.9996,578.4135,0.78393906
lshoulder,756.6859,427.55588,0.8167752
lelbow,760.7264,490.21848,0.81422824
lwrist,774.39575,541.18536,0.72893643
midhip,678.32214,492.20523,0.7703284
rhip,650.96454,492.17258,0.7652824
rknee,684.24585,537.2587,0.8480424
rankle,664.65564,617.63806,0.8967749
lhip,699.962,492.18097,0.7182257
lknee,772.40936,515.7655,0.8529173
lankle,727.232,600.00586,0.8685436
reye,743.0163,368.85287,0.97541785
leye,756.6659,368.7575,0.6639068
rear,723.4242,384.44873,0.86208063
lear,0.0,0.0,0.0
lbigtoe,758.699,619.65326,0.8728528
lsmalltoe,758.6485,617.5672,0.85502815
lheel,711.64813,603.9585,0.84816825
rbigtoe,696.0148,643.09045,0.8959134
rsmalltoe,682.27893,645.041,0.85415065
rheel,652.947,625.48425,0.7031902
nose,756.6686,376.62067,0.8665544
neck,727.3695,429.4401,0.91875774
rshoulder,697.9543,429.4619,0.8582905
relbow,664.54034,507.87457,0.7359668
rwrist,648.9986,580.3918,0.7787448
lshoulder,756.69604,427.5474,0.8146579
lelbow,760.72107,490.25378,0.8257602
lwrist,774.3999,541.1796,0.68839365
midhip,678.3818,492.19565,0.77942055
rhip,652.8807,492.17084,0.7515155
rknee,684.2608,537.30786,0.85988885
rankle,664.6496,617.6413,0.8940819
lhip,701.8578,492.1805,0.7257661
lknee,774.2427,517.6807,0.8596263
lankle,727.2262,600.00165,0.8667056
reye,743.0099,368.8711,0.96418685
leye,756.65265,368.76355,0.6206722
rear,723.43054,384.482,0.8610378
lear,0.0,0.0,0.0
lbigtoe,758.70404,619.6433,0.86995935
lsmalltoe,758.6465,617.56415,0.8523724
lheel,711.64325,603.95325,0.8475883
rbigtoe,696.01935,643.09406,0.88961166
rsmalltoe,682.28906,645.04626,0.85021067
rheel,652.93744,625.49036,0.7082952
nose,758.58844,380.58453,0.92860293
neck,729.3016,429.56848,0.9286576
rshoulder,699.8712,429.61432,0.8613217
relbow,662.68384,507.94327,0.7733324
rwrist,649.00146,576.5124,0.80394024
lshoulder,758.70734,429.52448,0.8888286
lelbow,762.5754,492.153,0.840155
lwrist,772.3507,537.24475,0.537488
midhip,682.2371,494.146,0.7842395
rhip,656.7885,494.1581,0.7406829
rknee,688.12537,539.2134,0.866479
rankle,664.66394,617.68866,0.8887605
lhip,707.774,492.26318,0.7219521
lknee,774.355,519.66077,0.86914945
lankle,727.23315,599.99176,0.8586904
reye,744.8766,372.69788,0.92926294
leye,758.74347,368.92667,0.82717985
rear,725.3733,386.41016,0.8546212
lear,0.0,0.0,0.0
lbigtoe,758.697,619.64954,0.8705866
lsmalltoe,758.6299,617.57214,0.8496477
lheel,711.64154,603.9357,0.85106903
rbigtoe,696.0192,643.1042,0.89119786
rsmalltoe,682.2958,645.0634,0.85684276
rheel,652.9431,627.42914,0.6880121
