,x,y,confidence
nose,764.5641,406.04755,0.8034253
neck,727.32355,445.23972,0.9020638
rshoulder,696.0391,443.22437,0.819018
relbow,666.65765,509.91922,0.83525974
rwrist,658.79944,590.24854,0.661457
lshoulder,758.6378,447.15985,0.8403812
lelbow,760.6939,507.90155,0.8074507
lwrist,760.6326,554.85297,0.8209984
midhip,664.60675,490.30432,0.71021855
rhip,641.10565,490.21097,0.7206103
rknee,672.4895,523.5377,0.4890899
rankle,660.728,617.6408,0.71352524
lhip,686.21704,492.22458,0.6366243
lknee,746.9566,511.81897,0.7982879
lankle,715.65674,594.1457,0.8095127
reye,758.58075,400.09665,0.88851094
leye,766.555,398.27908,0.19332945
rear,729.38965,402.1417,0.84599787
lear,0.0,0.0,0.0
lbigtoe,756.6784,615.67816,0.85038656
lsmalltoe,750.85706,607.8401,0.77451855
lheel,707.71594,602.00275,0.8275992
rbigtoe,692.04297,639.1956,0.79324865
rsmalltoe,680.25336,643.0933,0.772347
rheel,648.97845,627.3979,0.64119947
nose,762.6355,400.15994,0.8890425
neck,727.25336,445.14175,0.8892386
rshoulder,695.9317,443.19516,0.81792235
relbow,666.58997,507.9359,0.85243404
rwrist,662.6249,588.2984,0.64333636
lshoulder,758.62994,445.17783,0.8424711
lelbow,760.65515,507.94305,0.8075874
lwrist,760.58545,554.8913,0.76188284
midhip,664.63086,492.26746,0.76382446
rhip,641.1015,492.15906,0.77358353
rknee,676.394,519.65045,0.6142742
rankle,660.7159,617.6051,0.72636676
lhip,688.1442,494.16443,0.6698689
lknee,746.9577,511.86,0.8067781
lankle,717.5578,594.12054,0.8003607
reye,756.71515,396.2576,0.861984
leye,760.7157,396.14456,0.11515926
rear,729.33264,400.2057,0.91662467
lear,0.0,0.0,0.0
lbigtoe,756.66425,615.6782,0.8466102
lsmalltoe,750.8581,607.8447,0.7744575
lheel,707.75226,601.9901,0.8212047
rbigtoe,692.0497,639.1788,0.7986319
rsmalltoe,680.2563,643.0856,0.77514154
rheel,649.0031,625.48364,0.6481532
nose,764.5498,400.16153,0.8914434
neck,725.417,443.26492,0.88441813
rshoulder,695.9007,443.19394,0.8127189
relbow,666.5334,507.90317,0.8690308
rwrist,660.7084,588.3135,0.6563677
lshoulder,758.6326,443.19473,0.8532609
lelbow,760.57074,505.99048,0.807788
lwrist,758.7124,552.95874,0.74116635
midhip,666.5392,494.2003,0.7620718
rhip,641.1388,492.3015,0.7886028
rknee,680.29126,517.70355,0.6576425
rankle,660.7019,617.5942,0.7336774
lhip,692.0309,494.26556,0.6672877
lknee,746.95325,511.87845,0.80265117
lankle,717.5729,594.13513,0.80048007
reye,756.7426,396.22556,0.88381445
leye,762.6813,392.2971,0.37999696
rear,727.3611,398.27167,0.92520046
lear,0.0,0.0,0.0
lbigtoe,756.6551,615.6796,0.8350669
