,x,y,confidence
nose,756.74664,384.44818,0.94677746
neck,721.46173,431.48538,0.87548894
rshoulder,690.0902,431.44144,0.7927642
relbow,664.6322,511.8625,0.87949455
rwrist,664.543,586.32825,0.64856213
lshoulder,750.8285,431.46133,0.82416594
lelbow,758.62103,486.37582,0.6822193
lwrist,774.2448,541.1796,0.6839981
midhip,666.553,503.99005,0.7210397
rhip,637.2862,502.03146,0.7143749
rknee,688.18195,547.0887,0.7479378
rankle,654.8575,617.6765,0.83345187
lhip,692.0679,505.90787,0.6633362
lknee,756.71765,523.62946,0.8778604
lankle,717.5852,601.961,0.8543216
reye,744.9581,380.48547,0.9298284
leye,758.6235,376.68918,0.6658196
rear,721.448,382.60355,0.8855828
lear,0.0,0.0,0.0
lbigtoe,750.8434,619.5321,0.89452016
lsmalltoe,750.8636,615.6481,0.8236271
lheel,707.7659,605.9261,0.79723847
rbigtoe,680.34155,648.90533,0.88760376
rsmalltoe,666.5642,647.0524,0.8670022
rheel,647.0406,621.5642,0.7516924
nose,756.7481,384.43317,0.9472683
neck,721.48083,431.4735,0.87688434
rshoulder,690.08154,431.45834,0.7885566
relbow,664.6293,511.84317,0.8829461
rwrist,664.5462,586.29016,0.6387124
lshoulder,750.8828,431.42365,0.8211525
lelbow,758.5868,482.43906,0.7040594
lwrist,772.4238,539.21124,0.63796496
midhip,666.57135,503.99496,0.7169368
rhip,639.1577,502.04227,0.70890135
rknee,688.184,547.08026,0.75107
rankle,654.8709,617.6505,0.83793277
lhip,693.9717,505.90576,0.65916556
lknee,756.7559,523.6523,0.8814409
lankle,717.58057,601.9628,0.855935
reye,744.96313,378.63388,0.927344
leye,758.63385,376.66077,0.6906434
rear,721.4643,382.5943,0.88598686
lear,0.0,0.0,0.0
lbigtoe,750.84894,619.5321,0.8912501
lsmalltoe,750.86523,615.6497,0.8223784
lheel,707.76086,605.9282,0.80114084
rbigtoe,680.32574,648.8971,0.8915473
rsmalltoe,666.54767,647.0269,0.8660466
rheel,648.882,621.5176,0.7596674
nose,756.75024,384.4354,0.9493514
neck,721.4763,431.47955,0.8764965
rshoulder,690.0717,431.48135,0.7869862
relbow,664.6375,511.84116,0.89169896
rwrist,664.544,586.33093,0.6403849
lshoulder,752.774,429.6313,0.8217015
lelbow,758.59564,482.46896,0.6905375
lwrist,774.24634,539.21344,0.63095605
midhip,666.616,505.891,0.7208973
rhip,639.2051,503.9595,0.70307374
rknee,690.0985,547.0668,0.75072914
rankle,654.8538,617.664,0.83429337
lhip,694.0096,505.93872,0.6694324
lknee,758.5728,523.65234,0.8792043
lankle,717.5938,601.9655,0.8548222
reye,744.96185,378.63403,0.9286829
leye,758.6327,376.66006,0.70300984
rear,721.4388,382.5813,0.8863424
lear,0.0,0.0,0.0
lbigtoe,750.84924,619.52905,0.89633846
lsmalltoe,750.86426,615.6452,0.82681966
lheel,707.77106,605.932,0.79768074
rbigtoe,680.33093,648.8967,0.89072883
rsmalltoe,666.5537,647.0362,0.86727816
rheel,647.0377,621.54535,0.756772
nose,756.7462,384.43054,0.94752175
neck,721.4762,431.4846,0.876652
rshoulder,688.17316,431.53693,0.78074974
relbow,664.64124,511.8577,0.89113426
rwrist,664.5538,586.3018,0.6526686
lshoulder,752.805,429.61346,0.8197217
lelbow,758.57416,480.47293,0.68515384
lwrist,772.38,533.358,0.5677125
midhip,666.6478,505.91678,0.7270448
rhip,641.11786,504.0002,0.7033921
rknee,690.12537,545.1171,0.756553
rankle,654.86835,617.65466,0.8339095
lhip,694.0354,505.95068,0.67349243
lknee,758.5821,525.4756,0.8772415
lankle,717.5869,601.9663,0.8534031
reye,744.962,378.6251,0.9258937
leye,758.63025,376.65482,0.6908854
rear,721.4443,382.5717,0.8859295
lear,0.0,0.0,0.0
lbigtoe,750.84973,619.5319,0.8921278
lsmalltoe,750.87006,615.6464,0.82312524
lheel,707.767,605.9418,0.78933775
rbigtoe,680.33276,648.89124,0.8915932
rsmalltoe,666.5547,647.0253,0.8662075
rheel,648.8699,621.53265,0.7592137
nose,756.7487,384.4329,0.9464815
neck,721.4912,431.50256,0.8767551
rshoulder,688.1558,431.56964,0.7751766
relbow,664.6412,511.8036,0.8974745
rwrist,664.54663,586.28455,0.65174407
lshoulder,752.83936,429.62698,0.8199561
lelbow,758.58026,478.61514,0.6359379
lwrist,772.36774,527.5206,0.52110344
midhip,666.6309,505.94452,0.74246335
rhip,641.12695,505.88934,0.7176831
rknee,692.0458,545.1636,0.7576815
rankle,654.84973,617.6798,0.83743525
lhip,693.9952,505.96628,0.68083906
lknee,758.59076,525.4978,0.8749525
lankle,717.588,601.9678,0.8531383
reye,744.96265,378.62167,0.9237292
leye,758.62225,376.65607,0.665793
rear,721.4381,382.57468,0.8839922
lear,0.0,0.0,0.0
lbigtoe,750.8486,619.5246,0.89807796
lsmalltoe,750.8585,615.6444,0.82766247
lheel,707.76794,605.94324,0.7890057
rbigtoe,680.3364,648.8848,0.89127016
rsmalltoe,666.55853,647.02997,0.86733687
rheel,647.0264,621.57227,0.76011115
nose,756.7487,384.4329,0.9464815
neck,721.4912,431.50256,0.8767551
rshoulder,688.1558,431.56964,0.7751766
relbow,664.6412,511.8036,0.8974745
rwrist,664.54663,586.28455,0.65174407
lshoulder,752.83936,429.62698,0.8199561
lelbow,758.58026,478.61514,0.6359379
lwrist,772.36774,527.5206,0.52110344
midhip,666.6309,505.94452,0.74246335
rhip,641.12695,505.88934,0.7176831
rknee,692.0458,545.1636,0.7576815
rankle,654.84973,617.6798,0.83743525
lhip,693.9952,505.96628,0.68083906
lknee,758.59076,525.4978,0.8749525
lankle,717.588,601.9678,0.8531383
reye,744.96265,378.62167,0.9237292
leye,758.62225,376.65607,0.665793
rear,721.4381,382.57468,0.8839922
lear,0.0,0.0,0.0
lbigtoe,750.8486,619.5246,0.89807796
lsmalltoe,750.8585,615.6444,0.82766247
lheel,707.76794,605.94324,0.7890057
rbigtoe,680.3364,648.8848,0.89127016
rsmalltoe,666.55853,647.02997,0.86733687
rheel,647.0264,621.57227,0.76011115
nose,756.7487,384.4329,0.9464815
neck,721.4912,431.50256,0.8767551
rshoulder,688.1558,431.56964,0.7751766
relbow,664.6412,511.8036,0.8974745
rwrist,664.54663,586.28455,0.65174407
lshoulder,752.83936,429.62698,0.8199561
lelbow,758.58026,478.61514,0.6359379
lwrist,772.36774,527.5206,0.52110344
midhip,666.6309,505.94452,0.74246335
rhip,641.12695,505.88934,0.7176831
rknee,692.0458,545.1636,0.7576815
rankle,654.84973,617.6798,0.83743525
lhip,693.9952,505.96628,0.68083906
lknee,758.59076,525.4978,0.8749525
lankle,717.588,601.9678,0.8531383
reye,744.96265,378.62167,0.9237292
leye,758.62225,376.65607,0.665793
rear,721.4381,382.57468,0.8839922
lear,0.0,0.0,0.0
lbigtoe,750.8486,619.5246,0.89807796
lsmalltoe,750.8585,615.6444,0.82766247
lheel,707.76794,605.94324,0.7890057
rbigtoe,680.3364,648.8848,0.89127016
rsmalltoe,666.55853,647.02997,0.86733687
rheel,647.0264,621.57227,0.76011115
nose,756.7487,384.4329,0.9464815
neck,721.4912,431.50256,0.8767551
rshoulder,688.1558,431.56964,0.7751766
relbow,664.6412,511.8036,0.8974745
rwrist,664.54663,586.28455,0.65174407
lshoulder,752.83936,429.62698,0.8199561
lelbow,758.58026,478.61514,0.6359379
lwrist,772.36774,527.5206,0.52110344
midhip,666.6309,505.94452,0.74246335
rhip,641.12695,505.88934,0.7176831
rknee,692.0458,545.1636,0.7576815
rankle,654.84973,617.6798,0.83743525
lhip,693.9952,505.96628,0.68083906
lknee,758.59076,525.4978,0.8749525
lankle,717.588,601.9678,0.8531383
reye,744.96265,378.62167,0.9237292
leye,758.62225,376.65607,0.665793
rear,721.4381,382.57468,0.8839922
lear,0.0,0.0,0.0
lbigtoe,750.8486,619.5246,0.89807796
lsmalltoe,750.8585,615.6444,0.82766247
lheel,707.76794,605.94324,0.7890057
rbigtoe,680.3364,648.8848,0.89127016
rsmalltoe,666.55853,647.02997,0.86733687
rheel,647.0264,621.57227,0.76011115
nose,758.60046,384.51218,0.9479065
neck,725.3351,431.5421,0.89552045
rshoulder,692.0594,431.54663,0.7877105
relbow,664.6724,511.8021,0.89118534
rwrist,664.5653,586.31244,0.63921094
lshoulder,756.7262,431.46933,0.85085815
lelbow,758.745,482.49295,0.6567083
lwrist,774.37683,539.18713,0.6554772
midhip,666.59326,507.82162,0.77200496
rhip,641.114,505.91138,0.738574
rknee,693.97766,541.3035,0.77226025
rankle,654.848,617.66235,0.83186936
lhip,692.0738,507.8713,0.69915724
lknee,758.5977,523.65955,0.885552
lankle,717.5879,601.9581,0.8476693
reye,745.00775,380.56516,0.93738323
leye,758.6633,378.62015,0.7412428
rear,723.406,384.4388,0.8818147
lear,0.0,0.0,0.0
lbigtoe,750.8511,619.5523,0.89414454
lsmalltoe,752.7746,615.6774,0.82550436
lheel,707.77435,605.9315,0.7824038
rbigtoe,680.33,648.89905,0.8908816
rsmalltoe,666.5519,647.0256,0.86145586
rheel,647.0275,621.54596,0.768796
nose,758.6352,384.49353,0.9557065
neck,725.3832,431.54175,0.91178507
rshoulder,693.9855,431.44717,0.82320666
relbow,664.73267,511.8426,0.89977646
rwrist,664.59894,586.3226,0.6890962
lshoulder,758.6175,431.5853,0.86773974
lelbow,760.7089,494.17523,0.7435833
lwrist,774.2748,543.1789,0.7541143
midhip,666.54224,505.90164,0.7383329
rhip,639.1558,502.03876,0.71376646
rknee,694.0246,539.3255,0.8099599
rankle,656.78,617.6241,0.8152447
lhip,692.0345,505.98727,0.6760388
lknee,756.6736,523.54767,0.8536601
lankle,719.4676,601.91785,0.8462983
reye,745.0332,380.56836,0.9333093
leye,758.6873,378.59222,0.7297139
rear,723.4512,384.48666,0.88144475
lear,0.0,0.0,0.0
lbigtoe,750.8423,619.57,0.89513874
lsmalltoe,752.7698,615.6824,0.8318753
lheel,709.6422,605.8731,0.80428
rbigtoe,680.3134,648.899,0.88114315
rsmalltoe,666.5374,647.0105,0.8523317
rheel,648.905,621.5102,0.7487134
nose,758.65424,382.6184,0.9621628
neck,725.39746,431.55533,0.9098419
rshoulder,693.987,431.47296,0.81923854
relbow,666.6239,509.90015,0.8794264
rwrist,664.6458,588.18585,0.6768404
lshoulder,758.62823,431.59717,0.86357385
lelbow,760.6405,492.30212,0.7758993
lwrist,772.33417,543.15656,0.6739206
midhip,664.69086,500.04285,0.6980355
rhip,637.26624,498.11658,0.7308985
rknee,695.9327,537.3048,0.8348294
rankle,656.7802,617.60876,0.8097075
lhip,693.9731,500.06805,0.62527066
lknee,750.8741,523.56836,0.84338075
lankle,719.4719,601.89453,0.84346026
reye,745.0496,378.6367,0.9121571
leye,758.69775,374.72327,0.6828007
rear,725.342,384.43378,0.8862692
lear,0.0,0.0,0.0
lbigtoe,750.8222,619.56213,0.90347606
lsmalltoe,752.77344,615.6749,0.8383951
lheel,709.66815,605.84766,0.8144261
rbigtoe,680.30756,648.92535,0.88289726
rsmalltoe,666.5289,647.0306,0.853897
rheel,648.9008,619.68634,0.7485378
nose,758.6502,382.49112,0.9498107
neck,725.3561,431.48773,0.90632534
rshoulder,692.0268,429.61642,0.796268
relbow,668.6205,511.851,0.8298163
rwrist,664.5923,588.2065,0.66466
lshoulder,758.612,431.5262,0.86662215
lelbow,760.5689,492.2384,0.77357984
lwrist,770.41724,541.2385,0.6856308
midhip,662.6681,496.12656,0.6950527
