,x,y,confidence
nose,758.7346,384.41467,0.9513911
neck,725.3894,429.5157,0.9108458
rshoulder,696.0747,427.5388,0.84733635
relbow,652.9585,509.84805,0.74529517
rwrist,635.2885,570.657,0.8576228
lshoulder,750.8359,429.62592,0.8397752
lelbow,758.7548,490.30487,0.8555284
lwrist,774.27203,541.17377,0.7163854
midhip,664.6509,486.37863,0.7693281
rhip,643.08466,482.47577,0.7246764
rknee,678.34143,527.53656,0.853966
rankle,656.78284,617.5604,0.83993936
lhip,684.25555,488.3228,0.7112546
lknee,758.6807,509.9913,0.9223971
lankle,711.7011,597.986,0.84278345
reye,745.06366,380.53964,0.8970372
leye,760.58484,376.63135,0.7004323
rear,727.3093,390.35248,0.8396599
lear,0.0,0.0,0.0
lbigtoe,744.9742,619.4987,0.8991219
lsmalltoe,744.93823,615.59106,0.8251146
lheel,697.9445,602.0272,0.87118244
rbigtoe,686.2508,635.2923,0.87224305
rsmalltoe,676.35266,637.2297,0.8011116
rheel,649.00995,621.5815,0.79190356
nose,758.67786,382.55902,0.95516944
neck,725.38367,429.51492,0.90871584
rshoulder,696.0618,427.58572,0.85353243
relbow,654.8318,505.9576,0.773895
rwrist,635.32025,568.62354,0.83338666
lshoulder,748.93823,429.6098,0.84018266
lelbow,758.73724,490.289,0.8538166
lwrist,772.42523,539.2669,0.6933209
midhip,664.71515,490.28635,0.7974943
rhip,645.0291,488.3342,0.72587895
rknee,678.3087,529.50256,0.83641243
rankle,656.7941,617.57837,0.8440209
lhip,686.20874,492.14398,0.72608376
lknee,758.7048,509.98868,0.9244067
lankle,711.719,596.1073,0.845533
reye,745.0048,378.59195,0.89378893
leye,758.7266,372.75415,0.68957573
rear,725.3907,388.41776,0.83726007
lear,0.0,0.0,0.0
lbigtoe,744.97296,617.6983,0.90821505
lsmalltoe,744.9213,613.7252,0.8278326
lheel,697.9607,603.8376,0.8792506
rbigtoe,686.23267,635.28406,0.88125485
rsmalltoe,674.46985,637.2147,0.8066131
rheel,649.029,621.6027,0.7942742
nose,756.702,382.50748,0.9463038
neck,725.35315,429.5098,0.9104941
rshoulder,696.0578,427.61407,0.8591449
relbow,658.72406,498.1028,0.74179095
rwrist,635.3497,566.6652,0.76878154
lshoulder,748.85675,429.58514,0.8555841
lelbow,758.6384,490.21106,0.8206297
lwrist,772.3572,539.1981,0.6781189
midhip,664.58777,488.27252,0.7631711
rhip,639.18066,482.45898,0.72908634
rknee,676.41565,529.4446,0.83106184
