,x,y,confidence
nose,733.18427,415.84857,0.9115785
neck,703.7961,453.0262,0.8134147
rshoulder,666.6416,451.12228,0.8133959
relbow,623.486,509.87378,0.821404
rwrist,633.29395,582.3263,0.7979288
lshoulder,740.98047,453.06052,0.82612807
lelbow,746.9944,500.09982,0.7541354
lwrist,758.6422,541.2058,0.8087959
midhip,676.3934,513.8107,0.70725524
rhip,652.92584,513.8281,0.6612424
rknee,654.83136,529.48145,0.6675611
rankle,648.8675,613.6921,0.78482217
lhip,696.0332,513.8246,0.7238595
lknee,742.92896,523.55725,0.824629
lankle,697.97784,590.21967,0.86643887
reye,725.3997,411.88797,0.9068314
leye,737.12317,409.90384,0.7421114
rear,697.9985,413.9522,0.9368184
lear,0.0,0.0,0.0
lbigtoe,729.38104,611.7192,0.8167582
lsmalltoe,729.33704,603.94214,0.8330011
lheel,684.28394,599.9656,0.77871394
rbigtoe,668.5457,633.3304,0.9241195
rsmalltoe,654.8841,635.1835,0.8447096
rheel,639.18146,617.6567,0.669399
nose,735.1708,415.8344,0.9036466
neck,705.8024,451.13742,0.8177727
rshoulder,668.54236,449.20746,0.7997403
relbow,623.52716,509.87677,0.8007125
rwrist,633.2408,576.532,0.7983116
lshoulder,741.049,454.99655,0.8301581
lelbow,748.8991,502.0283,0.7485162
lwrist,758.56976,541.2459,0.8366718
midhip,672.44934,509.95425,0.71700805
rhip,650.92633,509.90833,0.6801221
rknee,652.96027,525.6139,0.744758
rankle,648.8532,613.70435,0.7767908
lhip,695.9178,511.82327,0.7202935
lknee,742.9475,523.5147,0.8171174
lankle,697.9589,590.21533,0.86875033
reye,727.28613,411.87653,0.9216275
leye,739.1197,409.91635,0.77548474
rear,699.9237,413.91833,0.9196378
lear,0.0,0.0,0.0
lbigtoe,729.3726,611.7448,0.8184298
lsmalltoe,729.32086,603.95544,0.82703155
lheel,684.25977,599.94354,0.77860165
rbigtoe,668.53253,633.33905,0.9136818
rsmalltoe,654.86975,635.1964,0.8377072
rheel,639.1508,617.6737,0.67484707
nose,737.14734,415.87305,0.88980895
neck,705.81494,451.14786,0.81795853
rshoulder,668.5328,449.1933,0.79304755
relbow,623.5325,509.90646,0.7871674
rwrist,633.2024,574.58075,0.8107734
lshoulder,741.0826,455.00537,0.8350986
lelbow,750.8438,503.95322,0.7426539
lwrist,756.73145,541.2476,0.85840046
midhip,666.6126,509.8675,0.74197936
rhip,643.1106,507.9822,0.6471896
rknee,656.81104,525.5087,0.7766259
rankle,648.9005,613.65704,0.8143027
lhip,693.9932,509.92508,0.7204807
lknee,741.06647,521.5589,0.8081196
lankle,697.9856,590.2351,0.87240064
reye,727.3322,411.918,0.9287086
leye,741.0497,409.94415,0.8316655
rear,699.9502,413.9159,0.91243494
